OUTPATIENT SERVICES,Average Charge for each Outpatient Service
REPLACE NON-TUN CVC,"$2,085.00"
REPLACE TUNNELED CVC,"$2,085.00"
REMOVE TUNNELED CVP,"$1,344.75"
DECLOT THROMBOLYTIC CV DEVICE,$363.75
REMOVAL FIBRIN SHEATH SEP ACCE,"$3,770.00"
MECH REMOV OBSTR MATERL CV PR,$362.25
REPOSITION CVC,$804.25
INSERTION IVC FILTER,"$9,597.25"
REPOSITIONING IVC FILTER,"$4,578.25"
RETRIEVAL IVC FILTER,"$4,578.25"
TRANSCATH FB RETRIVEAL,"$4,845.25"
THROMBOLYTIC ART INITIAL TX,"$6,971.00"
THROMBOLYTIC VENOUS INITIAL TX,"$6,971.00"
THROMBOLYTIC ART/VEN SUBSEQ TX,"$3,431.25"
CESSATION TX CATH REMOVAL,"$3,431.25"
TRANSCATH STENT CCA W EPS,"$8,641.25"
"TRANSCATH STENT,CCA W/O EPS","$3,856.50"
ADRENAL RIGHT,"$1,068.50"
ADRENAL LEFT,"$1,068.50"
ADRENAL ANGIOGR - BILAT,"$1,389.00"
PELVIS,"$1,389.00"
VENOGRAPHY EXTREM BI,"$1,986.00"
IVC,"$1,694.50"
SVC,"$1,389.00"
VENOGRAPHY RENAL RIGHT,"$2,374.75"
VENOGRAPHY RENAL LT,"$2,374.75"
VENOGRAPHY RENAL BI,"$1,389.00"
VENOGRAPHY ADRENAL LEFT,"$2,374.75"
VENOGRAPHY ADRENAL RIGHT,"$2,374.75"
VENOGRAPHY ADRENAL BI,"$1,389.00"
EMBOLIZATION ANY METHOD,"$2,662.50"
ANGIO EXIST CATH NON THROMBO,$760.75
REMOVAL FIBRIN SHEATH S&I,$273.25
MECH REMOV INTRACATH OBST CV,$350.50
CATH INTRAVAS ULTRASOUND,"$1,576.50"
VASC EMBOLIZE/OCCLUDE VENOUS,"$27,509.25"
VASC EMBOLIZE/OCCLUDE ORGAN,"$27,509.25"
VASC EMBOLIZE/OCCLUDE BLEED,"$27,509.25"
OPEN/PERQ PLACE STENT 1ST,"$28,371.25"
OPEN/PERQ PLACE ST ART EA ADD,"$13,721.00"
OPEN/PERQ PLACE STENT SAME,"$28,371.25"
OPEN/PERQ PLACE ST VEIN EA ADD,"$13,721.00"
DIAG  PERIPHERAL CATH/MERIT,$54.50
GUIDE WIRE/MERIT,$89.25
STENT NON-CO/NON-COV W/DEL-EV3,"$1,775.00"
FLOWMATE PROCE KIT/BARD,$74.50
"IVR ANGIO PACK,CUSTOM/CARDINAL",$88.25
TRNSLUM ATHER DIRECT CATH BARD,"$4,717.50"
CATHETER GUIDING/BARD MED,$650.50
GUIDEWIRE/FLOWCARDIA,$248.00
"SYRINGE KIT IVR, CUSTOM/MERIT",$119.25
AIGIS RX,"$2,194.00"
BASIX COMPAK INFLA DEV/MERIT,$87.00
FLUOROGUIDE FOR VEIN DEVICE,$195.00
GUIDE WIRE/EV3 COVIDIEN,$339.00
INSERT DRUG IMPLANT,$305.50
INTRO/SHEATH NON-LASER/MERIT,$186.00
THROMB; VC ILIAC FEM V LEG INC,"$10,177.75"
TRANS ANGIOPL NON-LAS CATH/EV3,$335.00
TRANSL ANGIOPL NON-LAS/BARD,$606.50
ULTRASOUND 18G (GUIDE KIT),$47.75
CATHETER GUIDING/CORDIS,$302.50
8FR DILATOR/BS,$10.75
DAV CATHETER/COOK,$45.75
INTRO/SHEATH NON-LASER/COOK,$256.00
STENT NON-COA/NON-COV W/DEL/AV,"$5,392.50"
VENA CAVA FILTER/BARD,"$2,122.25"
EMBOLIZ PROTECT SYS,"$3,087.00"
EMBOLIZ PROTECT SYS/ABBOTT,"$4,427.75"
GUIDE WIRE/ANGIODYNAMICS,$84.75
GUIDEWIRE/COOK,$49.88
10 FR DILATOR/COOK,$17.75
ABSCESS FISTULA/SINUS STUDY,$897.25
GUIDE WIREMERIT MEDICAL,$24.94
CATH HEMODIA LONG-TERM/ANGIODY,$583.00
GUIDE WIRE/TERUMO,$183.50
GUIDE WIRE/AMPLTZ VS,$128.75
COOK 5FR VTK,$45.75
COPILOT CONTROL VALVE (AV),$111.50
INSERT PULSE GEN MULT LEADS,"$23,667.25"
TRAN ANGPL NON-LAS CATH/EV3 NA,"$1,124.50"
DILATORS/AQ HYDRO COATING,$31.50
TRANSL ANGIOPL NLASER AV,$573.25
CATH HEMODIALYSIS SHT-TM/BARD,$446.50
STENT NON-CO/NON-COV W/DEL-EV3,"$2,200.25"
CATHETER GUIDING/EV3 VIANCE,"$2,930.75"
MIDLINE INFUSION /EV3,$248.00
STENT NONCO/NON-CO W/DEL/AV OM,"$1,709.50"
IMPL SGL CHAMBERPACE/BIOTRONIK,"$8,728.00"
COOL FLOW TUBE SET/BIO- WEB,$208.00
CATH EP COOL-TIP/BIOSENSE WEB,"$3,197.25"
MREYE EMB COIL/COOK,$206.75
INTRO/SHEATH NON-LASER/ANGIO,$87.50
VASC EMBOLIZE/OCCLUDE ARTERY,"$28,753.75"
STYLET 4087S/SJM,$212.75
LEAD CORONARY VENOUS/MEDTRONIC,"$9,450.00"
AICD OTHER SING/DUAL/MEDTRONIC,"$66,150.00"
FREEZOR XTRA CATHETER/MEDTRON,"$1,929.50"
UMBILICAL/CABLE/RETRAC KIT,$531.50
EP STEER GUID INTRO/SHEA/4FC12,"$2,480.75"
CATH EP 19 OR FEW ELECT/MED,"$1,995.00"
CATH EP OTHR THAN COOL/2AF234,"$8,544.50"
EP STEER GUID INTR/SHEA/3FC10,"$1,575.00"
CATH EP OTH TH COOL-TIP 239F3,"$3,491.25"
CATH EP OTH TH COOL-TIP/307F1,"$1,995.00"
PEAK PLASMA BLADE/MEDTRONIC,$693.00
PACING CABLES/BIOTRONIK,$111.00
STENT NON-COA/NON-COV W/DEL/BS,"$1,260.00"
OTHER PACEMAKER LEAD/BIOTRON,"$1,260.00"
IMPL DU CHAM PACMKR/BIOTRONIK,"$9,607.50"
TRANS ANGIO NON-LASER CA/BARD,"$3,215.75"
Q-GUIDE ELEC INSE KIT/BOS SCI,"$2,100.00"
REVEAL LINQ TOOL KIT/MEDTRONIC,$224.50
EPHYS EVAL SUBQ IMPLT DEFIB,$889.25
INSERT SUBQ DEFIB W/ELTRD,"$67,233.00"
AICD SINGLE CHAMBER/BOS SCI,"$39,375.00"
LEAD AICD NON SIN/DUAL/BOS SCI,"$9,187.50"
CATH EP 19 OR FEW ELECT/SJM,$861.00
VENA CAVA FILTER/BARD,"$2,205.00"
BARD SNARE RETRIEVAL KIT,$682.50
ST JUDE EP CABLE #PN-004 515,"$1,575.00"
TUBING MODEL#85785,$236.25
INTRO/SHEATH NON-LASER/RADIAL,$156.00
CATH EP OTHR THAN COOL-TIP ABL,"$5,512.50"
GUIDE WIRE/COOK (EP),$297.00
GUIDE WIRE/VASCULAR SOLUTIONS,$158.25
EP INTRACARD FIX-CURV GUID/SJM,$472.50
LOCM 300-399MG/1ML/VISIPAQUE,$3.25
MERIT 3 PORT CUSTOM MANIFOLD,$47.00
MERIT DRAINAGE BAG FZ624,$25.00
GUIDE WIRE-GWC-12325LG-FLP,$460.50
GUIDE WIRE/CSI,$354.25
MIDLINE INFUS CATH/D97140HF5,$270.50
MYCARELINK/MEDTRONIC,$630.00
PRQ CARD STENT/ATH/ANGIO,"$48,506.00"
PRQ CARD STENT/ATH/ANGIO ADDTL,"$40,087.50"
TRANSDUCER KIT,$40.25
TRANSL ATHERECT ROTA/PERIPH,"$6,238.25"
TRANSL ATHERECT ROTAT DBEC-125,"$6,973.25"
VIPERSLIDE LUBRICANT,$212.75
NTRO/SHEATH NON-LASER/ANGIODYN,$166.50
GUIDE WIRE/TERUMO,$105.75
IMPL DUAL CHAM RR PACE/BIOTRON,"$11,025.00"
MPL SGL CHAM RR PACE/MEDTRONIC,"$7,797.25"
RET DEV INSERTABLE/EV3,$672.00
SQUEEZE CONTRAST CONT 90400435,$41.50
MIDLINE INFUSION /EV3,$378.00
VIPER TRACK/CSI,$73.25
GUIDE WIRE/CSI REGALIA ASTATO,$425.25
PERC D-E COR STENT ATHER S,"$48,506.00"
PERC D-E COR STENT ATHER BR,"$44,096.25"
INTRO/SHEATH NON-LASER/TERUMO,$91.25
CATH EP COOL-TIP/FLEXIBILITY,"$4,900.00"
GUIDEWIRE/BS 300CM,$155.25
TRANS ANGIO NON-LASER CA/MEDTR,"$2,607.50"
IMPL DU CHAM PACMKR/BIOTRONIK,"$9,450.00"
INTRO/SHEATH NON-LASER/COOK7FR,$117.50
INTRO/SHEATH NON-LASER/COOK,$171.00
STENT NON-COA/NON-COV W/DEL/AV,"$2,481.50"
STENT COAT/COV W/DEL COOK LONG,"$3,141.25"
STENT COATED/COV W/DEL/COOK,"$2,616.25"
NESTER EMBOLIZATION COIL/COOK,$198.00
TORNADO EMBOLIZATION COIL,$234.00
CATHETER GUIDING/COOK MEDICAL,$780.00
AICD DUAL CHAMBER/BS,"$31,500.00"
TRANSL ANGIOPL NLASER/COOK,$540.00
GUIDE WIRE/COOK 180CM,$106.50
GUIDE WIRE/COOK/260CM,$139.25
RET DEV INSERTABLE/COOK,$560.00
STENT NON-COA/NO-COV W/DE/COOK,"$1,700.00"
STENT NON-COA/NO-CV W/DEL/COOK,"$1,300.00"
TRANSL ANGIOPL NLASER/COOK 4FR,$405.00
TRANSL ANGIOP NLASE/COOK 170CM,$550.00
CATHETER GUIDING/COOK (CXI),$371.25
CATHETER GUIDING /COOK(CXC),$258.75
INTRO/SHEATH NON-LASER/COOK,$42.75
IVUS STERILE BAG/BS,$33.75
US GUIDE VASCULAR ACCESS,$192.00
INTRO/SHEATH NON-LAS/55CM COOK,$146.25
INTRO/SHEATH NON-LAS/70CM COOK,$168.75
INTRO/SHEATH NON-LAS/90CM COOK,$213.75
TRANSL ANGIOPL NLASR/COOK .035,$236.25
INTRVASC US NONCORONARY 1ST,$273.00
INTRVASC US NONCORONARY ADDL,$218.25
IMPL SGL CHAM RR PACE/BS L300,"$8,001.00"
TRANSL ANGIOPL NLASER/BD ATLAS,"$1,072.00"
CATHETER/APTUS,$898.00
TRANSL ANGIOPL NLASER/MEDTRON,$890.00
INTRO/SHEATH NON-LASE/TER-25CM,$78.00
INTRO/SHEATH NON-LASER/TER PIN,$71.75
CATHETER TIP/COOK,$123.75
CATHETER-SLIP/COOK,$450.00
VENOUS MECH THROMBECTOMY,"$11,706.00"
CATHETER GUIDING/ANGIODYN,$543.25
STENT COAT/COV W/DEL/ABBOTT,"$2,012.50"
STEN NO-COA/NO-CV W/DEL/ABBOTT,"$1,050.00"
TRANSL ANGIOPL NLASER/ABBOTT,$292.50
VENA CAVA FILTER/COOK MEDICAL,"$2,275.00"
EP INTRA FIX-CUR GUI INTR/SHE,$94.50
AZUR DETACH CONTROLLER/TERUMO,$443.00
RET DEV INSERTABLE/VAS SOL,$590.00
HYRDO COIL SYS/TERUMO,"$1,760.00"
CATH EP 20 OR MORE ELEC/MED,"$1,900.00"
AICD OTHER SING/DUAL/MRI MEDTR,"$37,261.50"
STENT COAT/COV W/DEL 120/COOK,"$3,491.25"
DIAG CATHETERS/COOK,$156.00
STENT NON-COA/NON-COV W/DE/MED,"$3,638.25"
INS TUNL CVAD W PT AGE 5 YRS>,"$3,520.50"
AQUACEL SURG DRESSING,$58.75
IMPL PAC/NOT SGL/DUAL CHAM/SJM,"$13,335.00"
CATHETER GUIDING/ATRIUM,$420.75
AZUR CX COIL/TERUMO,"$2,000.00"
CATHETER GUID/PROGREAT TERUMO,$781.00
CATHETER GUID/TERUMO  PROGREAT,"$1,276.00"
STENT COATED/COV W/DEL SYS/BS,"$2,537.50"
CATHETER GUIDING/TERUMO,$371.25
IMPL PACE NOT SGL/DU CHAMB/BIO,"$12,222.00"
CATH INTRAVAS ULTRASOU/VOLCANO,"$1,450.00"
CATH INTRAVAS ULTRASOU/VOLVANO,"$1,950.00"
GUIDE WIRE/VOLCANO,"$1,350.00"
AICD OTHER THAN SING/DUAL/BS,"$31,087.50"
LEAD CORONARY VENOUS/BS,"$5,075.00"
GUIDE WIRE/COOK 40CM,$337.50
RET DEV INSERTABLE/ATRIEVE,$750.00
POWER PULSE DELIVERY KIT/B/S,$76.50
THROMBECT/EMBOLECTOMY CATH/B/S,"$3,368.75"
TRANSL ANGIOPL NON-LASE/PASSEO,$416.25
THROMBECT/EMBOLECTOMY CATH/ZEL,"$4,926.25"
CATHETER GUIDING/ANGIODYNA 130,$245.25
STENT NON-COA/NO-COV W/DEL/BS,"$3,160.00"
CATHETER GUIDING/MAQUET,"$1,500.00"
AICD OTHER THAN SING/DUAL/BOS,"$27,377.50"
IMPL PACEMK NOT SGL/DL CHAB/BS,"$12,000.00"
TRANS ANGIPL NO-LASR/ANGIOSC,"$1,600.00"
TRANS ANGIPL NO-LASR/ANGIOSC,"$1,950.00"
TRANS ANGIPL NO-LASR/ANGIOSC,"$2,143.75"
TRANS ANGIPL NO-LASR/ANGIOSC,"$2,012.50"
TRANS ANGIPL NO-LASR/ANGIOSC,"$1,700.00"
CATHETER GUIDING/TERUMO,$371.25
STENT COAT/COV W/DEL/GORE,"$4,830.00"
STENT COAT/COV W/DEL/WL GORE,"$6,982.50"
STENT COAT/COV W/DEL/GORE,"$5,547.50"
REPOSITION L VENTRIC LEAD,"$5,728.50"
IMPELLA PURGE CASSETTE,$450.00
IMPELLA CP PUMP SET,"$40,500.00"
STENT COAT/COV W/DEL/ABBOTT,"$2,791.25"
LV Lead Accessories/BS,$337.50
GUIDE WIRE/BS .014,$315.00
CATHETER GUIDING/BS 60CM,$551.25
PERQ CLSR TCAT L ATR APNDGE,"$2,137.50"
ACCESS AV DIAL GRFT FOR EVAL,"$1,786.00"
INTRO CATH DIALY CIRC/ANGIOP,"$12,597.00"
INTRO CATH DIALY CIRC/STENT,"$25,460.25"
THRMBC/NFS DIALYSIS CIRCUIT,"$12,597.00"
THRMBC/NFS DIALYSIS CIR/ANGIO,"$25,460.25"
THRMBC/NFS DIALYSIS CIR/STENT,"$38,591.00"
BALO ANGIOP CTR DIALYSIS SEG,"$12,597.00"
STENT PLMT CTR DIALYSIS SEG,"$25,460.25"
DIALYSIS CIRCUIT EMBOLJ,"$25,460.25"
TRLUML BALO ANGIOP 1ST ART,"$13,856.75"
TRLUML BALO ANGIOP ADDL ART,"$12,597.00"
TRLUML BALO ANGIOP 1ST VEIN,"$13,856.75"
TRLUML BALO ANGIOP ADDL VEIN,"$13,856.75"
MOD SED SAME PHYS/QHP 5/>YRS,$366.25
MOD SED SAME PHYS/QHP EA,$162.75
TRANS ANGIPL NO-LASR/CORDIS,"$1,440.00"
GUIDE WIRE/ASAHI INTECC,$337.50
RECEPTACLE PLUG/SJM,$45.00
INSERT VAD ARTERY ACCES/IMPEL,"$1,257.25"
REMOVE VAD DIFFER SESS/IMPELLA,$538.00
REPOSITION VAD DIFF SES/IMPEL,$469.75
UNIL FEM ART EXP FOR PROSTH,$910.00
TRANSLUM ANGIO NO-LAS /BARD,$191.25
IMPL DUAL CHAMB RR PACER/ABBOT,"$7,787.50"
IMPL SGL CHAMB RR PACMAR/ABBOT,"$7,437.50"
LEADLESS C PM INS/RPL VENTR,"$38,607.25"
LEADLESS C PM REMOVE VENTR,"$4,315.75"
IMPL SGL CHAMB RR PACEMKR/MED,"$16,125.00"
CATHETER GUIDING/AVINGER,"$5,241.25"
TRNSLUM ATHER DIREC CATH/AVING,"$6,116.25"
VESSEL SIZING CATHETER/MERIT,$203.75
BAYLIS RF TRANSSEPTAL NEEDLE,$990.00
BAYLIS RF CONNECTOR CABLES,$337.50
GUIDE WIRE/BAYLIS,$483.75
EP INTRA FIX-CURV SHEATH/BAYLI,$438.75
GUIDE WIRE/COOK,$58.25
NOMOLINE MALE CONNECTOR/MASIMO,$52.75
ATRIEVE VASC SNARE  KIT/ARGON,$770.00
GUIDE WIRE/ANGIODYNAMICS,$40.50
MIDLINE INFUSION CATH/EKO,"$4,900.00"
NONSEL CATH RT HT/MN PULM ART,"$3,947.75"
SELECT CATH - LT/RT PULMON ART,"$3,948.50"
SELECTIVE CATH - SEGMEN ART,"$3,948.50"
CATH EP 19 OR FEW ELECT/MEDT,"$1,040.00"
AQUAMANTYS BIPOLAR SEALER/MED,"$1,144.00"
STENT COATED/COV W/DEL/BARD,"$3,937.50"
TRANS ANG NON-LA CA/SPECT 80CM,"$2,362.50"
TRANS ANG NON-LA CA/SPECT135CM,"$2,791.25"
CATHETER GUIDING/MEDTRONIC,$522.00
PULMONARY BILAT SELECT ANGIO,"$6,165.25"
14FR INTRODUCER IMPELLA CP,"$1,400.00"
ADVISOR/FLEXABILITY CABLES/SJM,$600.00
CATH EP DIAG/ABL 3D/VECT/SJMAD,"$3,062.50"
CATH EP DIAG/ABL 3D/VECT/SJM,"$3,850.00"
ENSITE PRECISION NAVX SE/SJM,"$3,150.00"
GUIDE WIRE/COMET BS,"$1,350.00"
WACTHMAN LAA CLOSURE DEVICE/BS,"$25,500.00"
WATCHMAN ACCESS SYSTEM/BS,"$2,000.00"
EVENT RECORDER CARDIAC/SJM,"$8,741.25"
EP INTRA FIX-CUR GUI INTR/SJM,$159.75
CATHETER GUIDING/Terumo,$513.00
GUIDE WIRE/BS STINGRAY,$550.00
GUIDE WIRE/BS GUIDEZILLA,$830.00
TRANSL ANGIOPL NLASER/BS,"$2,187.50"
TRANS ANGIOPL NO-LASER /BS CTO,"$2,000.00"
FOUNTAIN INFUSION SYSTEM/MERIT,$196.00
TRANSL ANGIOPL NLASER/MEDTRON,"$1,837.50"
DILATOR COONS TAPER/COOK,$52.25
NTRO/SHEATH NON-LASER/SJM,$146.25
TRANSL ATHERECT ROTATIONAL/BS,"$1,983.25"
ROTAGLIDE PKG LUB/BS,$273.00
GUIDE WIRE/BS ROTAWIRE,$517.50
CATH INTRAVAS ULTRASOU/PIONEER,"$5,162.50"
TRANSL ANGIO LASER CATH/PHIL,"$5,075.00"
TRANSL ANGIO LASER CATH/POWER,"$5,950.00"
VENOUS M-THROMBECTOMY ADD-ON,"$6,682.75"
ECHO INTRAP [(TEE),$612.75
INTRO/SHEATH NON-LASE/TER-10CM,$48.25
EEG DROWSY/AWAKE,$978.50
EEG SLEEP/AWAKE,"$1,045.75"
EEG SPIKE ANALYSIS,$571.75
EEG SPIKE ANALYSIS LIMITED,$571.75
EEG CEREBRAL DEATH  EVALUATION,$486.00
EEG Ambu 24 hrs,"$1,849.50"
EEG Ambu less than 24hrs,"$1,233.00"
Ultrasound,$62.25
TRACTION,$81.75
E-Stim Attended,$142.00
Massage,$74.75
Vasopneumatic Devices,$77.75
Iontophoresis,$141.00
BIOFEEDBACK,$137.50
Gait Training,$89.25
Neuromuscular Re-Ed,$105.25
Therapeutic Exercise,$92.00
Functional Activity Training,$109.50
Prosthetic Training,$106.50
Orthotic Training,$131.25
ADL Training,$109.50
PT Re-Evaluation,$298.50
Physical Performance Test,$115.25
CPM RENTAL,$51.75
CPM COVER KIT,$76.25
Functional Capacity Eval,$115.25
Manual Techniques,$129.75
GROUP THERAPY,$62.50
"MMT, Extremity W/O Hand",$98.00
"MMT, Extremity With Hand",$93.25
"MMT,Whole Body W/O Hand",$128.25
"MMT, Whole Body With Hand",$157.25
"ROM, Extremity W/O Hand",$61.25
"ROM, Extremity With Hand",$49.25
"STRAPPING, UNNA BOOT",$537.50
"STRAPPING, ANKLE/FOOT",$141.00
"STRAPPING, KNEE",$173.25
"STRAPPING, SHOULDER",$193.25
"STRAPPING, ELBOW/WRIST",$246.50
"STRAPPING, HAND/FINGER",$182.50
"E-STIM, UNATTENDED",$76.50
Orthotic/Prosthetic Check out,$139.00
"SPLINT; FINGER, STATIC",$134.25
"SPLINT; FINGER, DYNAMIC",$134.25
SPLINT; LONG LEG,$365.00
SPLINT; SHORT LEG,$252.50
Cognitive Skills Dev.,$77.75
Sensory Integration,$103.50
Wheelchair Management,$113.50
Assist Tech. Assessment,$113.25
Strapping Thorax,$193.25
Strapping Toes,$137.25
Strapping Hip,$165.00
WHFO - PREFAB WRIST COCK-UP,$101.50
LUMBAR BINDER NO INSERT,$88.75
PREFAB ELASTIC KO W JNTS,$152.00
KO W CONDYL PAD & JNTS,$235.25
KNEE ORTH POS LOCKING JOINT,$473.75
SIO FLEX PELVISACRAL PREFAB,$142.00
KO W/ ADJ FLEX/EXT ROTAT CUS,"$1,149.00"
PREFAB UPPR THORACIC TLSO,$273.00
PREFAB MULTILIGAM SUPPORT AFO,$185.50
LUMBAR SUPPORT/RIGID INSERT,$125.75
PREFAB AFO,$365.00
NON SELECTIVE WOUND CARE,$148.50
Hot or Cold Pack Application,$38.50
Self-MGMT and Training (1 Pt),$129.50
Self-MGMT and Train (2-4 Pts),$57.25
Canalith Repositioning,$131.00
PT EVAL LOW COMPLEX 20 MIN,$298.50
PT EVAL MOD COMPLEX 30 MIN,$298.50
PT EVAL HIGH COMPLEX 45 MIN,$298.50
APPLY MULTLAY CMPR LWR LEG B/L,$359.75
APPLY MLTLAY CMPR ARM/HAND B/L,$326.75
APPLY MULTLAY COMPR LWR LEG LT,$359.75
APPLY MULTLAY COMPR LWR LEG RT,$359.75
APPLY MULTLAY CMPR ARM/HAND RT,$326.75
APPLY MULTLAY CMPR ARM/HAND LT,$326.75
DRY NEEDLING,$23.53
OT Re-Evaluation,$410.75
Paraffin Bath,$83.00
Whirlpool / Fluidotherapy,$83.00
Contrast Bath,$59.25
NON SELECTIVE WOUND CARE,$148.50
Ultrasound,$58.00
E-Stim Attended,$111.50
Massage,$74.75
Vasopneumatic Devices,$77.75
Iontophoresis,$141.00
BIOFEEDBACK,$137.50
Gait Training,$88.50
Neuromuscular Re-Ed,$105.25
Therapeutic Exercise,$92.00
Functional Activity Training,$109.50
Prosthetic Training,$106.50
Orthotic Training,$131.25
ADL Training,$109.50
Cognitive Skills Dev.,$77.75
Sensory Integration,$103.50
Splint - Long Arm,$323.25
Splint - Short Arm Static,$252.50
Physical Performance Test,$115.25
Manual Techniques,$112.00
GROUP THERAPY,$62.50
"MMT, Extremity W/O Hand",$98.00
"MMT, Extremity With Hand",$93.25
"MMT,Whole Body W/O Hand",$128.25
"MMT, Whole Body With Hand",$157.25
"ROM, Extremity W/O Hand",$61.25
"ROM, Extremity With Hand",$49.25
"STRAPPING, UNNA BOOT",$537.50
"STRAPPING, ANKLE/FOOT",$141.00
"STRAPPING, KNEE",$165.00
"STRAPPING, SHOULDER",$193.25
"STRAPPING, ELBOW/WRIST",$246.50
"STRAPPING, HAND/FINGER",$182.50
"E-STIM, UNATTENDED",$51.00
Orthotic/Prosthetic Check out,$139.00
"SPLINT; FINGER, STATIC",$134.25
"SPLINT; FINGER, DYNAMIC",$134.25
"STRAPPING, THORAX",$193.25
SPLINT; LONG LEG,$365.00
SPLINT; SHORT LEG,$252.50
"STRAPPING, HIP",$165.00
"STRAPPING, TOES",$137.25
"STANDARD COG TEST, 1 HR",$223.00
Comm / Work Reintegration,$92.75
Wheelchair Management,$113.50
Assist Tech. Assessment,$113.25
Traction,$77.75
PREFAB UPPR THORACIC TLSO,$273.00
LUMBAR BINDER NO INSERT,$88.75
PREFAB ELASTIC KO W JNTS,$152.00
KO W CONDYL PAD & JNTS,$235.25
PREFAB MULTILIGAM SUPPORT AFO,$185.50
LUMBAR SUPPORT/RIGID INSERT,$125.75
WHFO - PREFAB WRIST COCK-UP,$101.50
KO W/ ADJ FLEX/EXT ROTAT CUS,"$1,149.00"
KNEE ORTH POS LOCKING JOINT,$473.75
Self-MGMT and Train (2-4 Pts),$57.25
Self-MGMT and Training (1 Pt),$129.50
Hot or Cold Pack Application,$38.50
OT EVAL LOW COMPLEX 30 MIN,$410.75
OT EVAL MOD COMPLEX 45 MIN,$410.75
OT EVAL HIGH COMPLEX 60 MIN,$410.75
APPLY MULTLAY CMPR LWR LEG B/L,$359.75
APPLY MLTLAY CMPR ARM/HAND B/L,$326.75
APPLY MULTLAY COMPR LWR LEG LT,$359.75
APPLY MULTLAY COMPR LWR LEG RT,$359.75
APPLY MULTLAY CMPR ARM/HAND RT,$326.75
APPLY MULTLAY CMPR ARM/HAND LT,$326.75
Speech / Language Treatment,$269.50
Motion Flouro Eval of Swallow,$293.25
Electrical Stim Manual 15,$111.50
Eval for Fit/Use Voice Prosthe,$399.25
Cognitive Testing Per Hour,$281.00
SWALLOW EVALUATION,$313.75
SWALLOW TREATMENT,$146.00
Aphasia Assess/Interp Per Hour,$140.00
Cognitive Skills Dev.,$77.75
Eval Speech Gen Device-1st Hr,$475.75
Therap Use of Spch Gen Dev,$253.00
TRACH-ESOPH VOICE PROS MD IN,$176.25
Evaluate Speech Production,$197.00
Evaluation of Speech Fluency,$146.50
Speech Sound Lang Comprehen,$343.25
Behavral Qualit Analys Voice,$135.75
Self-MGMT and Train (2-4 Pts),$57.25
Self-MGMT and Training (1 Pt),$129.50
UPR/L XTREMITY ART 2 LEVELS,$218.75
UPPER EXTREMITY PVR,$570.75
THORACIC OUTLET SURVEY,$509.25
AORTO-ILIAC DUPLEX,$874.00
AORTO-ILIAC SCAN LTD,$552.25
VISCERAL VESSEL SCAN COMP,"$1,044.00"
VIS VESSEL SCAN LTD,$795.75
BEDSIDE ANKLE PVR,$275.75
UE PVR LTD,$275.75
GRAFT PATENCY DUPL LT,$497.50
DUPLEX LE ART/BPG;LEFT,$394.75
CAROTID DUPLEX SCAN,$845.75
LE PVR - TM TOES,$570.75
LE PVR - EXERCISE,$599.00
LE PVR - RESTING,$570.75
ANKLE SCREEN PVR,$275.75
DIGIT EXAM,$498.25
COLD PRESSOR STUDY,$570.75
DUPLEX EXT VEINS; BILATLOWER,"$1,035.00"
LE UNI VENOUS DUPLEX LT,$654.75
HEMODIALYSIS ACCESS DUPLEX,$535.25
VEIN MAPPING LTD LT,$500.25
VEIN MAPPING BILATERAL,$654.75
GRAFT PATECY DUPL RT,$394.75
DUPLEX LE ART/BPG;RIGHT,$394.75
LE UNI VENOUS DUPLEX RT,$654.75
VEIN MAPPING LTD RT,$654.75
UE PVR RESTING,$570.75
DIGIT EXAM LIMITED,$313.75
PRE-OP DIALYSIS MAPPING,$414.50
UE UNI VENOUS DUPLEX LT,$654.75
UE UNI VENOUS DUPLEX RT,$654.75
BIL LOWER EXT ARTERIAL DUPLEX,$840.25
UNI LOWER EXT ARTER DUPLEX LT,$497.50
UNI LOWER EXT ARTER DUPLEX RT,$497.50
UNI UPPER EXT ARTER DUPLEX RT,$333.75
UNI UPPER EXT ARTER DUPLEX LT,$333.75
UNI CAROTID DUP (FOLLOWUP)RT,$459.25
UNI CAROTID DUP (FOLLOWUP)LT,$459.25
DUPLEX UE ART/BPG; BILAT,$813.50
DUPLEX RENAL ART FLOW: COMP,"$1,044.00"
INJ PERC EXTR ANEURYSM,$711.00
US GUIDED NEEDLE PLACEMENT,$359.25
US GUIDED COMPRESSION REPAIR,$918.25
VEIN MAPPING LE,$500.25
UPR/L XTREMITY ART 2 LEV/UNIL,$275.75
ANCHORS (IMPLANT) LV 2,$70.25
ANCHORS (IMPLANT) LV 3,$140.75
ANCHORS (IMPLANT) LV 4,$281.25
ANCHORS (IMPLANT) LV 5,$703.00
ANCHORS (IMPLANT) LV 6,"$1,262.25"
ANCHORS (IMPLANT) LV 7,"$2,524.75"
ANCHORS (IMPLANT) LV 8,"$6,311.75"
ANCHORS (IMPLANT) LV 9,"$12,623.75"
ANCHORS (IMPLANT) LV 10,"$18,081.00"
"CATH, TRANS ATHER, DIREC LV 2",$70.25
"CATH, TRANS ATHER, DIREC LV 3",$140.75
"CATH, TRANS ATHER, DIREC LV 4",$281.25
"CATH, TRANS ATHER, DIREC LV 5",$703.00
"CATH, TRANS ATHER, DIREC LV 6","$1,262.25"
"CATH, TRANS ATHER, DIREC LV 7","$2,524.75"
