CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
7597,XR CATHETER FOR HYSTEROGRAPHY,$542.51 
7598,XR OPERATIVE ANG EXTREM UNI L,"$6,132.32 "
7599,XR FLUORO PERC DRAIN CATH PL,"$3,232.87 "
7600,XR FLUORO < 1 HOUR,$709.31 
7601,XR FLUORO LOCAL NEEDLE PLACEMENT,$577.77 
7602,XR FLUORO NEEDLE LOCALIZATION,$577.77 
7603,XR LUMBAR PUNCTURE,$760.90 
7604,XR PEDIATRIC FOREIGN BODY 1 VIEW,$291.16 
7605,XR BONE AGE STUDIES,$157.72 
7606,XR BONE LENGTH STUDIES,$407.59 
7607,XR OSSEO SURVEY LIMIT METASTA,$626.27 
7608,XR OSSEO SURVEY AXIAL + APPEND,$694.85 
7609,XR OSSEOUS SURVEY INFANT,$466.03 
7610,XR FLUORO NEEDLE PLACEMENT,$480.00 
7611,XR FLUORO VASCULAR LINE INJECTION,$330.88 
7612,XR CENTRAL VENOUS FLUORO,$330.88 
7613,XR MYELOGRAM CERVICAL S & I,"$2,349.36 "
7614,XR MYELOGRAM LUMBAR S & I,"$1,975.98 "
7615,XR MYELOGRAM 2+ REGIONS,"$3,282.36 "
7616,XR MYELOGRAM THORACIC S & I,"$2,349.36 "
7617,XR INJ SHOULDER ARTHROGRAM L,$344.64 
7618,XR INJ ELBOW ARTHROGRAM L,$366.24 
7619,XR INJ WRIST ARTHROGRAM R,$339.58 
7620,XR INJ WRIST ARTHROGRAM L,$339.58 
7621,XR INJ HIP ARTHROGRAM L,$307.71 
7622,XR INJ HIP ARTHROGRAM R,$307.71 
7623,XR INTRO GI TUBE W/FLUORO,$209.76 
7624,XR INJ INTRATHECAL MYELOG,$298.39 
7625,XR HIP ARTHROGRAM S&I L,"$1,004.84 "
7626,XR FISTULA/SINUS/ABSCESS,$583.56 
7627,XR ISOVUE M 15ML 300 399MG SINGLE DOSE,$42.84 
7628,XR ISOVUE M 20ML 200 299MG,$44.06 
7629,XR ANKLE 1 VIEWS R,$307.85 
7630,XR ANKLE 2 VIEWS R,$318.65 
7631,XR ANKLE 3+ VIEWS R,$434.80 
7632,XR CALCANEUS 1 VIEW R,$290.55 
7633,XR CALCANEUS 2+ VIEWS R,$325.42 
7634,XR CLAVICLE COMPLETE R,$370.53 
7635,XR CLAVICLE LIMITED R,$330.84 
7636,XR ELBOW 1 VIEW R,$254.32 
7637,XR ELBOW 2 VIEWS R,$275.53 
7638,XR ELBOW 3+ VIEWS R,$414.29 
7639,XR ELBOW ARTHROGRAM S & I R,$934.13 
7640,XR FEMUR 2 VIEWS R,$417.02 
7641,XR FINGER 1 VIEW R,$272.62 
7642,XR FINGER(S) 2+ VIEWS R,$311.14 
7643,XR SHOULDER ARTHROGRAM S & I R,"$1,451.08 "
7644,XR HIP R UNILAT 1V WO PEL,$407.12 
7645,XR ESOPHAGUS SPEECH THERAPIST,$527.78 
7646,XR BARIUM SWALLOW,$527.78 
7647,XR FEMUR 1 VIEW R,$382.59 
7648,DEVICE BIOPSY MAX CORE 22MM DE,$234.00 
7649,INJECTOR SYRINGES,$49.64 
7650,DRAPE SHEET 53X77,$5.09 
7651,CATH 10.2 FR DRAINAGE SET G10050,$523.90 
7652,CATH 5F G09705,$344.25 
7653,NEEDLES 5/BX 1815-NCXSDP,$43.20 
7654,GUNS 5/BX 360-1580-01,$157.50 
7655,DEVICE GUN 360-1080-01,$157.50 
7656,SLICKER LIGHTSPEED SYS (2 PCS),"$1,332.00 "
7657,FASTLOAD CTA DUAL SYRINGE PACK,$67.05 
7658,FASTLOAD MR SYRINGE PACK,$68.22 
7659,COAXIAL INTRO NEEDLE BIOPINCE,$43.20 
7660,NEEDLE BIOPINCE,$43.20 
7661,DEVICE GUN 360-2080-01,$157.50 
7662,BAG 600ML GRAVITY DRAINAGE,$35.24 
7663,BX DEVICE 360-1810-01,$157.50 
7664,YUEH COAX NEEDLE 20CM G09491,$58.55 
7665,YUEH COAX NEEDLE 15CM G09492,$76.37 
7666,KIT 14 FR. MULTIPURPOSE DRAIN,$710.91 
7667,PARALLAX CORE ASSURE BIOPSY NEEDLE 11GA,$499.50 
7668,VAN SONNENBERG KIT 14FR,$693.81 
7669,VAN SONNENBERG KIT 12FR,$693.81 
7670,CATH 12FR DRAINAGE SET G10261,$710.91 
7671,SKATER PIGTAIL DRAIN 8FR,$409.50 
7672,FUSIONCOIL KIT,"$1,620.00 "
7673,KYPHON GUN DELIVERY SYSTEM,$363.60 
7674,KYPHON BONE CEMENT AND MIXER,$580.50 
7675,KYPHON CEMENT DELIVERY SYSTEM,"$1,531.85 "
7676,INTRODUCER/BEVEL NEEDLE 11GA,$956.25 
7677,INTRODUCER/TROCAR NEEDLE 11GA,$956.25 
7678,SKATER ANGIOCATHETER 12FR,$297.00 
7679,AMPLATZ 80CM ULTRA-STIFF GUIDEWIRE,$80.46 
7680,DILATOR 9FR 20CM,$42.39 
7681,SKATER ANGIOCATHETER 10FR,$297.00 
7682,DILATOR 7FR,$42.39 
7683,DILATOR 11FR,$42.39 
7684,CT BIOPSY MUSCLE,"$2,458.40 "
7685,CT BIOPSY BONE SUPERFICIAL,"$2,458.40 "
7686,CT BIOPSY BONE DEEP,"$2,458.40 "
7687,CT THORACENTESIS,"$2,458.40 "
7688,CT DRAINAGE PROCEDURE,"$3,232.87 "
7689,CT ABSC DRAIN LUNG(CHEST TUBE,"$3,232.87 "
7690,CT LUNG/MEDIAST PERC BIOPSY,"$2,458.40 "
7691,CT LIVER BIOPSY PERC NEED,"$2,458.40 "
7692,CT ABSC/CYST DRAIN LIVER,"$3,232.87 "
7693,CT BIOPSY PROCEDURE,"$2,458.40 "
7694,CT PANCREAS BIOPSY PERC NEED,"$2,458.40 "
7695,CT GUIDED PARACENTESIS,"$2,458.40 "
7696,CT ABD PELVIS W/O CONTRAST,"$3,869.45 "
7697,CT ABD PEL W ORAL ONLY,"$3,869.45 "
7698,CT ABD PELVIS W IV ONLY,"$4,142.90 "
7699,CT ABD PELVIS WO/W,"$4,826.55 "
7700,CT ABD PELVIS ORAL/IV,"$4,142.90 "
7701,CT ABSC DRAIN PERITONEAL,"$3,232.87 "
7702,CT ABSC DRAIN SUBDIAPHRAGM,"$3,232.87 "
7703,CT ABSC DRAIN RETROPERITON,"$3,232.87 "
7704,CT ABD/RETROPERITO BIOPSY,"$2,458.40 "
7705,CT ABSC DRAIN RENAL/PERIR,"$3,232.87 "
7706,CT RENAL BIOPSY PERC NEED,"$2,458.40 "
7707,CT ASPIR/INJ RENAL PELV/C,"$2,458.40 "
7708,CT THYROID BIOPSY PERC NEED,"$2,458.40 "
7709,CT GUIDED BIOPSY SOFT TISSUE NECK,"$2,458.40 "
7710,CT BRAIN W/O CONTRAST,"$2,816.63 "
7711,CT STROKE,"$2,816.63 "
7712,CT BRAIN WITH CONTRAST,"$3,090.07 "
7713,CT BRAIN WO+W CONTRAST,"$3,773.72 "
7714,CT ORBIT/SELLA/IAC W/O CON,"$2,874.06 "
7715,CT ORBIT/SELLA/IAC WITH C,"$3,147.52 "
7716,CT ORBIT/SELLA/IAC WO+W C,"$3,831.16 "
7717,CT MAXILLOFACIAL W/O CONT,"$3,131.11 "
7718,CT MAXILLOFACIAL WITH CONT,"$3,404.57 "
7719,CT MAXILLOFACIAL WO+W CON,"$4,088.22 "
7720,CT NECK SOFT TISSUE W/O C,"$2,479.06 "
7721,CT NECK SOFT TISSUE WITH,"$2,752.53 "
7722,CT NECK SOFT TISSUE WO+W,"$3,436.18 "
7723,CT CHEST W/O CONTRAST,"$3,049.07 "
7724,CT CHEST HIGH RES WO CONTRAST,"$3,049.07 "
7725,CT CHEST LOW DOSE,"$3,049.07 "
7726,CT CHEST WITH CONTRAST,"$3,322.53 "
7727,CT CHEST WO+W CONTRAST,"$4,006.18 "
7728,CT CERV SPINE W/O CONTRAST,"$2,712.02 "
7729,CT CERV SPINE WITH CONTRAST,"$2,985.50 "
7730,CT CERV SPINE WO+W CONTRAST,"$3,669.14 "
7731,CT THORACIC SPINE W/O CONT,"$2,704.58 "
7732,CT THORACIC SPINE WITH CONT,"$2,978.05 "
7733,CT THORACIC SPINE WO+W CONT,"$3,661.70 "
7734,CT LUMBAR SPINE W/O CONTR,"$2,398.23 "
7735,CT LUMBAR SPINE WITH CONT,"$2,671.69 "
7736,CT LUMBAR SPINE WO+W CONT,"$3,355.34 "
7737,CT PELVIS W/O CONTRAST,"$2,720.92 "
7738,CT PELVIS W ORAL ONLY,"$2,720.92 "
7739,CT PELVIS WITH IV ONLY,"$2,994.38 "
7740,CT PELVIS WO/W CONTRAST,"$3,678.03 "
7741,CT PELVIS ORAL IV,"$2,994.38 "
7742,CT UPPER EXTREMI W/O CONT L,"$2,221.86 "
7743,CT UPPER EXTREM WITH CONT L,"$2,495.32 "
7744,CT UPPER EXTREM WO+W CONT L,"$2,695.32 "
7745,CT LOWER EXTREMI W/O CONT L,"$2,221.86 "
7746,CT LOWER EXTREM WITH CONT L,"$2,495.32 "
7747,CT LOWER EXTREM WO+W CONT L,"$3,178.96 "
7748,CT ABD W/O CONTRAST,"$2,720.92 "
7749,CT ABD W ORAL ONLY,"$2,720.92 "
7750,CT ABD W IV ONLY,"$2,994.38 "
7751,CT ABD WO/W CONTRAST,"$3,678.03 "
7752,CT ABD ORAL/IV,"$2,994.38 "
7753,CT PLEURX REMOVAL OF MALIGNANT ASCITES,"$5,859.45 "
7754,CTA HEAD,"$2,990.01 "
7755,CTA NECK,"$3,039.77 "
7756,CTA CHEST,"$2,871.32 "
7757,CTA PELVIS,"$2,457.05 "
7758,CTA ABD AORTA,"$4,538.98 "
7759,CTA UPPER EXT,"$2,990.01 "
7760,CTA LOWER EXT,"$2,637.85 "
7761,CTA ABDOMEN,"$2,965.92 "
7762,CTA ABD AORTA ILIOFEM,"$2,242.64 "
7763,CT PERC VERTEBROPLASTY,"$2,221.86 "
7764,CT PERC VERTEBROPLASTY ADDL,"$2,221.86 "
7765,CT ABSC/DRAIN PELVIS/HIP,"$3,232.87 "
7766,CT PNEUMONOSTOMY W/PERC DRAIN,"$3,232.87 "
7767,CT BIOPSY MUSCLE DEEP,"$2,458.40 "
7768,CT BIOPSY MUSCLE SUPERFICIAL,"$2,458.40 "
7769,CT NEEDLE PLACEMENT,"$2,458.40 "
7770,CT PERC DRAIN CATH PLACE,"$3,232.87 "
7771,CT BIOPSY GUN,$266.54 
7772,CT BIOPSY NEEDLE,$76.37 
7773,CT DRAINAGE CATHETER,$585.00 
7774,CT DRAINAGE KIT DISPOSABLE,$774.00 
7775,CT INJECTOR KIT DISPOSABLE,$73.62 
7776,CT FINE NEEDLE ASP W IMAGE GUIDANCE,"$2,458.40 "
7777,CT VONN SONNEBERG SUMP,$555.75 
7778,CT PNEUMOTHORAX TUBE,$420.89 
7779,CT ISOVUE 100ML 300 399MG,$53.28 
7780,CT ISOVUE 370 100 ML,$60.03 
7781,CT LOWER EXTREM WITH CONT R,"$2,495.32 "
7782,CT LOWER EXTREM WO+W CONT R,"$3,178.96 "
7783,CT LOWER EXTREMI W/O CONT R,"$2,221.86 "
7784,CT UPPER EXTREM WITH CONT R,"$2,495.32 "
7785,CT UPPER EXTREM WO+W CONT R,"$2,695.32 "
7786,CT UPPER EXTREMI W/O CONT R,"$2,221.86 "
7787,CT CHEST HIGH RES WO+W CONTRAST,"$4,006.18 "
7788,EMH HEARING TEST,$40.00 
7789,ELBOW SLEEVE MEDIUM,$16.47 
7790,ELBOW SLEEVE LARGE,$16.47 
7791,ELBOW SLEEVE XLARGE,$16.47 
7792,ELECTRODE - CARDIAC CT(order 3 packs),$3.83 
7793,SYRINGE MRI SQK65VS,$52.61 
7794,TMJ MOUTHPIECE RETRACTOR,$20.25 
7795,MRI SYRINGE PROHANCE 10ML,$66.34 
7796,MRI TMJ(S),"$2,973.87 "
7797,MRI ORBIT+FACE+NECK W/O CONTR,"$3,383.36 "
7798,MRI BRAIN W/O CONTRAST,"$3,446.61 "
7799,MRI BRAIN PITUITARY W/O CONTRAST,"$3,446.61 "
7800,MRI BRAIN WITH IAC,"$3,446.61 "
7801,MRI BRAIN WITH CONTRAST WITH IAC,"$3,720.07 "
7802,MRI BRAIN WITH CONTRAST,"$3,720.07 "
7803,MRI BRAIN WO+W CONTRAST,"$4,403.72 "
7804,MRI BRAIN WO+W CONTRAST W IAC,"$4,403.72 "
7805,MRI CHEST W/O CONTRAST,"$3,292.30 "
7806,MRI CERV SPINE W/O CONTR,"$2,804.32 "
7807,MRI CERV SPINE WITH CONTRAST,"$3,077.78 "
7808,MRI DORSAL SPINE W/O CONTRAST,"$2,365.31 "
7809,MRI DORSAL SPINE WITH CONTRAS,"$2,638.77 "
7810,MRI LUMB SPINE W/O CONTRAST,"$2,804.32 "
7811,MRI LUMB SPINE WITH CONTRAST,"$3,077.78 "
7812,MRI CERV SPINE WO+W CONTRAST,"$4,747.92 "
7813,MRI DORSAL SPINE WO+W CONTRAS,"$5,102.75 "
7814,MRI LUMB SPINE WO+W CONTRAST,"$5,301.01 "
7815,MRI UPPER EXT WO+W CONT L,"$3,274.68 "
7816,MRI UPPER JOINT W/O CONT L,"$2,584.17 "
7817,MRA UPPER EXT WO/W CONTRAST L,"$3,801.65 "
7818,MRI LOWER EXT WO+W CONT L,"$3,548.14 "
7819,MRI LOWER JOINT W/O CONT L,"$2,733.23 "
7820,MRI ABDOMEN W/O CONTRAST,"$2,804.32 "
7821,MRI REFORMATTED IMAGES,$730.14 
7822,MRI ORBIT+FACE+NECK WITH CONT,"$3,633.36 "
7823,MRI ORBIT+FACE+NECK WO+W CONT,"$4,067.02 "
7824,MRA HEAD W/O CONTRAST,"$2,690.84 "
7825,MRA HEAD WO+W CONTRAST,"$3,690.84 "
7826,MRA NECK W/O CONTRAST,"$2,317.57 "
7827,MRA NECK WITH CONTRAST,"$2,591.04 "
7828,MRA NECK WO+W CONTRAST,"$3,274.68 "
7829,MRI CHEST WO+W CONTRAST,"$3,975.96 "
7830,MRI PELVIS W/O CONTRAST,"$2,958.83 "
7831,MRI PELVIS WO+W CONTRAST,"$3,642.47 "
7832,MRI UPPER EXT W/O CONT L,"$2,317.56 "
7833,MRI UPPER JOINT WITH CONT L,"$2,857.63 "
7834,MRI UPPER JOINT WO+W CONT L,"$3,541.30 "
7835,MRI LOWER EXT W/O CONT L,"$2,591.03 "
7836,MRI LOWER EXT W/CONT L,"$2,864.49 "
7837,MRI LOWER JOINT W/CONT L,"$3,006.69 "
7838,MRI LOWER JOINT WO+W CON L,"$3,690.34 "
7839,MRI ABDOMEN WITH CONTRAST,"$3,077.78 "
7840,MRI ABDOMEN WO+W CONTRAST,"$3,761.43 "
7841,MRA ABDOMEN WITH CONTRAST,"$3,060.01 "
7842,MRA ABDOMEN W/O CONTRAST,"$2,786.55 "
7843,MRA ABDOMEN WO+W CONTRAST,"$3,761.43 "
7844,MRI BREAST UNILAT W/O CONTRAS L,"$1,833.89 "
7845,MRI BREAST UNILAT WO+W CONTRA L,"$4,030.86 "
7846,MRI BREAST BILAT W/O CONTRAST,"$3,667.77 "
7847,MRI BREAST BILAT WO+W CONTRAS,"$4,351.43 "
7848,MRA CHEST WITH CONTRAST,"$3,068.21 "
7849,MRA CHEST W/O CONTRAST,"$2,794.75 "
7850,MRA RUN OFF LOWER EXT,"$2,690.84 "
7851,MRA LOWER EXT W/O CONTRAST L,"$2,964.30 "
7852,MRA PELVIS WITH CONTRAST,"$2,611.62 "
7853,MRA PELVIS W/O CONTRAST,"$2,338.16 "
7854,MRA PELVIS WO+W CONTRAST,"$3,295.27 "
7855,MRI INJECTOR KIT DISPOSABLE,$239.29 
7856,MRA LOWER EXT W/O CONTRAST R,"$2,964.30 "
7857,MRA UPPER EXT WO/W CONTRAST R,"$3,801.65 "
7858,MRI BREAST UNILAT W/O CONTRAS R,"$1,833.89 "
7859,MRI BREAST UNILAT WO+W CONTRA R,"$4,030.86 "
7860,MRI LOWER EXTREMITY W/O CONTR R,"$2,591.03 "
7861,MRI LOWER EXT W/CONT R,"$2,864.49 "
7862,MRI LOWER EXT WO+W CONT R,"$3,548.14 "
7863,MRI LOWER JOINT W/O CONT R,"$2,733.23 "
7864,MRI LOWER JOINT W/CONT R,"$3,006.69 "
7865,MRI LOWER JOINT WO+W CONTRAST R,"$3,690.34 "
7866,MRI UPPER EXT W/O CONTR R,"$2,317.56 "
7867,MRI UPPER EXTREMITY WO+W CONT R,"$3,274.68 "
7868,MRI UPPER JOINT WITH CONT R,"$2,857.63 "
7869,MRI UPPER JOINT WO+W CONT R,"$3,541.30 "
7870,MRI UPPER JOINT W/O CONT R,"$2,584.17 "
7871,IC XR FOOT 2 VIEWS R,$309.19 
7872,IC XR FOOT 3+ VIEWS R,$431.43 
7873,IC XR FOREARM 1 VIEW R,$318.62 
7874,IC XR FOREARM 2 VIEWS R,$347.30 
7875,IC XR HAND 3+ VIEWS R,$438.91 
7876,IC XR HAND AP & LAT R,$253.04 
7877,IC XR HIP R UNILAT 2-3V WO PEL,$434.37 
7878,IC XR HUMERUS 1 VIEW R,$372.34 
7879,IC XR HUMERUS 2+ VIEWS R,$417.02 
7880,IC XR KNEE 3 VIEWS R,$527.77 
7881,IC XR KNEE 4+ VIEWS R,$554.16 
7882,IC XR KNEE <3 VIEWS R,$401.12 
7883,IC XR LOWER EXTRE INFANT 2+VIEWS R,$253.13 
7884,IC XR RIBS UNI PA CHEST 3+ VIEWS R,$615.08 
7885,IC XR RIBS UNILATERAL 2+ VIEWS R,$567.44 
7886,IC XR SCAPULA COMPLETE R,$348.57 
7887,IC XR SHOULDER 2+ VIEWS R,$416.12 
7888,IC XR SHOULDER ONE VIEW R,$289.86 
7889,IC XR TIBIA FIBULA 2 VIEWS R,$373.27 
7890,IC XR TOE(S) 2+ VIEWS R,$301.78 
7891,IC XR UPPER EXT INFANT 2+ VIEWS R,$296.99 
7892,IC XR WRIST 2 VIEWS R,$344.56 
7893,IC XR WRIST 3+ VIEWS R,$538.70 
7894,IC XR HIP R UNILAT 2-3V W PEL,$446.32 
7895,IC XR HIP L UNILAT 2-3V W PEL,$446.32 
7896,IC XR HIP R UNILAT 1V W PEL,$418.32 
7897,IC XR HIP L UNILAT 1V W PEL,$418.32 
7898,IC XR MANDIBLE <4 VIEWS,$362.58 
7899,IC XR MANDIBLE 4+ VIEWS,$533.23 
7900,IC XR FACIAL BONES <3 VIEWS,$471.62 
7901,IC XR FACIAL BONES 3+ VIEWS,$533.25 
7902,IC XR NASAL BONES 3+ VIEWS,$510.81 
7903,IC XR ORBITS <4 VIEWS,$471.62 
7904,IC XR SINUSES <3VIEWS,$266.27 
7905,IC XR SINUSES 3+ VIEWS,$445.06 
7906,IC XR SKULL <4 VIEWS,$533.25 
7907,IC XR SKULL 4+ VIEWS,$672.73 
7908,IC XR NECK SOFT TISSUE,$284.40 
7909,IC XR CHEST SINGLE VIEW,$253.82 
7910,IC XR CHEST PA & LAT,$397.38 
7911,IC XR RIBS UNILATERAL 2+ VIEWS L,$567.44 
7912,IC XR RIBS UNI PA CHEST 3+ VIEWS L,$615.08 
7913,IC XR RIBS BILATERAL 3+ VIEWS,$580.49 
7914,IC XR RIBS BIL PA CHEST 4+ VIEWS,$601.59 
7915,IC XR STERNUM 2+ VIEWS,$335.51 
7916,IC XR STERNOCLAVICULAR JT 3+ VIEW,$411.41 
7917,IC XR SCOLIOSIS AP STANDING 1 VIEW,"$1,170.74 "
7918,IC XR ENTIRE SPINE AP & LAT 2 OR 3 VIEWS,"$1,542.91 "
7919,IC XR ENTIRE SPINE 4 OR 5 VIEWS,"$1,597.41 "
7920,IC XR ENTIRE SPINE + SKULL > 6 VIEWS,"$1,651.91 "
7921,IC XR SPINE SINGLE VIEW,$281.44 
7922,IC XR SPINE CERVICAL 2 OR 3 VIEWS,$496.68 
7923,IC XR SPINE CERVICAL 4 OR 5 VIEWS,$552.95 
7924,IC XR SPINE CERV W/OBL FLEX EXT 6 PLUS,$701.96 
7925,IC XR SPINE THORACIC 2 VIEWS,$358.33 
7926,IC XR SPINE THORACIC 3 VIEWS,$567.43 
7927,IC XR SPINE THOR 4+VIEWS,$581.11 
7928,IC XR SPINE THORACOLUMBAR 2 VIEWS,$651.93 
7929,IC XR SPINE LUMBAR 2/3 VIEWS,$520.24 
7930,IC XR SPINE LUMBAR 4+ VIEWS,$823.10 
7931,IC XR PELVIS < 3 VIEWS,$266.62 
7932,IC XR PELVIS 3+ VIEWS,$463.51 
7933,IC XR SACROILIAC JOINTS 3+ VIEWS,$440.26 
7934,IC XR SACRUM COCCYX 2+ VIEWS,$408.83 
7935,IC XR CLAVICLE COMPLETE L,$370.53 
7936,IC XR CLAVICLE LIMITED L,$330.84 
7937,IC XR SCAPULA COMPLETE L,$348.57 
7938,IC XR SHOULDER ONE VIEW L,$289.86 
7939,IC XR SHOULDER 2+ VIEWS L,$416.12 
7940,IC XR AC JOINTS BIL WO/W WEIGHT,$289.94 
7941,IC XR HUMERUS 2+ VIEWS L,$417.02 
7942,IC XR HUMERUS 1 VIEW L,$372.34 
7943,IC XR ELBOW 2 VIEWS L,$275.53 
7944,IC XR ELBOW 1 VIEW L,$254.32 
7945,IC XR ELBOW 3+ VIEWS L,$414.29 
7946,IC XR FOREARM 2 VIEWS L,$347.30 
7947,IC XR FOREARM 1 VIEW L,$318.62 
7948,IC XR UPPER EXT INFANT 2+ VIEWS L,$296.99 
7949,IC XR WRIST 2 VIEWS L,$344.56 
7950,IC XR WRIST 3+ VIEWS L,$538.70 
7951,IC XR HAND AP & LAT L,$253.04 
7952,IC XR HAND 3+ VIEWS L,$438.91 
7953,IC XR FINGER(S) 2+ VIEWS L,$311.14 
7954,IC XR FINGER 1 VIEW L,$272.62 
7955,IC XR HIP L UNILAT 1V WO PEL,$407.12 
7956,IC XR HIP L UNILAT 2-3V WO PEL,$434.37 
7957,IC XR HIP BIL 3-4 VIEWS W OR WO PELVIS,$534.20 
7958,IC XR HIP BIL >5 VIEWS W/AP PELVIS,$890.34 
7959,IC XR PELVIS < 3 VIEWS,$327.27 
7960,IC XR FEMUR 2 VIEWS L,$417.02 
7961,IC XR FEMUR 1 VIEW L,$382.59 
7962,IC XR KNEE <3 VIEWS L,$401.12 
7963,IC XR KNEE 3 VIEWS L,$527.77 
7964,IC XR KNEE 4+ VIEWS L,$554.16 
7965,IC XR KNEE BIL STANDING AP,$283.03 
7966,IC XR TIBIA FIBULA 2 VIEWS L,$373.27 
7967,IC XR LOWER EXTRE INFANT 2+VIEWS L,$253.13 
7968,IC XR ANKLE 2 VIEWS L,$318.65 
7969,IC XR ANKLE 1 VIEWS L,$307.85 
7970,IC XR ANKLE 3+ VIEWS L,$434.80 
7971,IC XR FOOT 2 VIEWS L,$309.19 
7972,IC XR FOOT 3+ VIEWS L,$431.43 
7973,IC XR CALCANEUS 2+ VIEWS L,$325.42 
7974,IC XR CALCANEUS 1 VIEW L,$290.55 
7975,IC XR TOE(S) 2+ VIEWS L,$301.78 
7976,IC XR ABDOMEN AP/KUB,$401.12 
7977,IC XR ABDOMEN AP ERECT/DECUB,$546.49 
7978,IC XR ABD AP ERECT/DECUB CHEST,$691.86 
7979,IC XR PEDIATRIC FOREIGN BODY 1 VIEW,$291.16 
7980,IC XR BONE AGE STUDIES,$157.72 
7981,IC XR OSSEO SURVEY LIMIT METASTA,$626.27 
7982,IC XR OSSEO SURVEY AXIAL + APPEND,$694.85 
7983,IC XR OSSEOUS SURVEY INFANT,$466.03 
7984,IC XR ANKLE 1 VIEWS R,$307.85 
7985,IC XR ANKLE 2 VIEWS R,$318.65 
7986,IC XR ANKLE 3+ VIEWS R,$434.80 
7987,IC XR CALCANEUS 1 VIEW R,$290.55 
7988,IC XR CALCANEUS 2+ VIEWS R,$325.42 
7989,IC XR CLAVICLE COMPLETE R,$370.53 
7990,IC XR CLAVICLE LIMITED R,$330.84 
7991,IC XR ELBOW 1 VIEW R,$254.32 
7992,IC XR ELBOW 2 VIEWS R,$275.53 
7993,IC XR ELBOW 3+ VIEWS R,$414.29 
7994,IC XR FEMUR 2 VIEWS R,$417.02 
7995,IC XR FINGER 1 VIEW R,$272.62 
7996,IC XR FINGER(S) 2+ VIEWS R,$311.14 
7997,IC XR HIP R UNILAT 1V WO PEL,$407.12 
7998,IC XR FEMUR 1 VIEW R,$382.59 
7999,IC CT ABD&PELVIS W/O CONTRAST,"$3,869.45 "
8000,IC CT ABD&PEL W ORAL ONLY,"$3,869.45 "
8001,IC CT ABD&PELVIS W IV ONLY,"$4,142.90 "
8002,IC CT ABD&PELVIS WO/W,"$4,826.55 "
8003,IC CT ABD&PELVIS ORAL/IV,"$4,142.90 "
8004,IC CT BRAIN W/O CONTRAST,"$2,816.63 "
8005,IC CT STROKE,"$2,816.63 "
8006,IC CT BRAIN WITH CONTRAST,"$3,090.07 "
8007,IC CT BRAIN WO+W CONTRAST,"$3,773.72 "
8008,IC CT ORBIT/SELLA/IAC W/O CON,"$2,874.06 "
8009,IC CT ORBIT/SELLA/IAC WITH C,"$3,147.52 "
8010,IC CT ORBIT/SELLA/IAC WO+W C,"$3,831.16 "
8011,IC CT MAXILLOFACIAL W/O CONT,"$3,131.11 "
8012,IC CT MAXILLOFACIAL WITH CONT,"$3,404.57 "
8013,IC CT MAXILLOFACIAL WO+W CON,"$4,088.22 "
8014,IC CT NECK SOFT TISSUE W/O C,"$2,479.06 "
8015,IC CT NECK SOFT TISSUE WITH,"$2,752.53 "
8016,IC CT NECK SOFT TISSUE WO+W,"$3,436.18 "
8017,IC CT CHEST W/O CONTRAST,"$3,049.07 "
8018,IC CT CHEST HIGH RES WO CONTRAST,"$3,049.07 "
8019,IC CT CHEST LOW DOSE,"$3,049.07 "
8020,IC CT CHEST WITH CONTRAST,"$3,322.53 "
8021,IC CT CHEST WO+W CONTRAST,"$4,006.18 "
8022,IC CT CERV SPINE W/O CONTRAST,"$2,712.02 "
8023,IC CT CERV SPINE WITH CONTRAST,"$2,985.50 "
8024,IC CT CERV SPINE WO+W CONTRAST,"$3,669.14 "
8025,IC CT THORACIC SPINE W/O CONT,"$2,704.58 "
8026,IC CT THORACIC SPINE WITH CONT,"$2,978.05 "
8027,IC CT THORACIC SPINE WO+W CONT,"$3,661.70 "
8028,IC CT LUMBAR SPINE W/O CONTR,"$2,398.23 "
8029,IC CT LUMBAR SPINE WITH CONT,"$2,671.69 "
8030,IC CT LUMBAR SPINE WO+W CONT,"$3,355.34 "
8031,IC CT PELVIS W/O CONTRAST,"$2,720.92 "
8032,IC CT PELVIS W ORAL ONLY,"$2,720.92 "
8033,IC CT PELVIS WITH IV ONLY,"$2,994.38 "
8034,IC CT PELVIS WO/W CONTRAST,"$3,678.03 "
8035,IC CT PELVIS ORAL IV,"$2,994.38 "
8036,IC CT UPPER EXTREMI W/O CONT L,"$2,221.86 "
8037,IC CT UPPER EXTREM WITH CONT L,"$2,495.32 "
8038,IC CT UPPER EXTREM WO+W CONT L,"$2,695.32 "
8039,IC CT LOWER EXTREMI W/O CONT L,"$2,221.86 "
8040,IC CT LOWER EXTREM WITH CONT L,"$2,495.32 "
8041,IC CT LOWER EXTREM WO+W CONT L,"$3,178.96 "
8042,IC CT ABD W/O CONTRAST,"$2,720.92 "
8043,IC CT ABD W ORAL ONLY,"$2,720.92 "
8044,IC CT ABD W IV ONLY,"$2,994.38 "
8045,IC CT ABD WO/W CONTRAST,"$3,678.03 "
8046,IC CT ABD ORAL/IV,"$2,994.38 "
8047,IC CTA HEAD,"$2,990.01 "
8048,IC CTA NECK,"$3,039.77 "
8049,IC CTA CHEST,"$2,871.32 "
8050,IC CTA PELVIS,"$2,457.05 "
8051,IC CTA ABD AORTA,"$4,538.98 "
