Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
2823723,TYLENOL (ACETAMINOPHEN) SUPP 120MG,$38.00,
2823724,TYLENOL (ACETAMINOPHEN) SUPP 325MG,$38.00,
2823725,TYLENOL (ACETAMINOPHEN) SUPP 650MG,$38.00,
2823726,TYLENOL PED ELIXIR:160MG/5ML 4OZ (PSA),$81.00,
2823727,TYLENOL (ACETAMINOPHEN) UD OS:160MG/5ML,$26.00,
2823728,TYLENOL (ACETAMINOPHEN) LIQ 650MG/20.3ML,$26.00,
2823729,TYLENOL (ACETAMINOPHEN) TAB 325MG,$26.00,
2823730,oxyCODONE (OxyCONTIN IR) TAB: 5MG,$24.00,
2823733,ULTANE(SEVOFLURANE)SOLN:PER 30MIN,$206.00,
2823738,ULTRAM (TRAMADOL) TAB: 50MG,$14.00,
2823739,UNIPHYLL(THEOPHYLLINE)CAP :200 MG,$20.00,
2823740,UNIPHYLL(THEOPHYLLINE)CAP :400 MG,$20.00,
2823741,UNIT DOSE PROFILE FEE    EA,$19.00,
2823743,UNIPEN(NAFCILLIN)INJ:   500 MG,$111.00,
2823744,UNIPEN (NAFCILLIN) INJECTION: 1GM,$158.00,
2823745,UNIPEN (NAFCILLIN) INJ: 2GM,$278.00,
2823748,URECHOLINE(BETHANECHOL) TAB 5MG,$30.00,
2823749,URECHOLINE(BETHANECHOL) TAB 10MG,$30.00,
2823750,URECHOLINE(BETHANECHOL) TAB 25MG,$30.00,
2823751,URECHOLINE(BETHANECHOL) TAB:50MG,$30.00,
2823754,URISPAS(FLAVOXATE) TAB :100MG,$24.00,
2823761,VACCINE    EA,$89.00,
2823762,VAGINAL CREAM    EA,$147.00,
2823763,VALCYTE(VALGANCICLOVIR)TAB:450MG,$554.00,
2823765,VALISONE (BETAMETHASONE) 0.1% CREAM:15GM,$220.00,
2823766,VALISONE (BETAMETHASONE) 0.1% OINT: 15GM,$220.00,
2823767,VALIUM (diazePAM) INJ: 10MG/2ML,$132.00,
2823768,VALIUM (diazePAM) TAB: 2MG,$26.00,
2823769,VALIUM (diazePAM) TAB: 5MG,$27.00,
2823770,VALIUM(diazePAM) TAB:10MG,$27.00,
2823771,VALTREX (VALACYCLOVIR) TAB:500MG,$102.00,
2823772,VANCENASE(BECLOMETHASONE) AERO:7GM,$482.00,
2823773,VANCENASE AQ(BECLOMETHASONE) NASAL SPR,$555.00,
2823775,VANCERIL(BECLOMETHASONE) AERO:6.8GM,$491.00,
2823776,VANCOMYCIN CAP:125MG,$90.00,
2823778,VANCOMYCIN (VANCOCIN) SDV: 250MG,$194.00,
2823779,VANCOMYCIN (VANCOCIN) SDV 500MG,$349.00,
2823780,VANCOMYCIN PER PHARMACY,$0.00,
2823781,VANCOMYCIN DOSING PER PHARMACY,$0.00,
2823782,VANCOMYCIN (VANCOCIN) ORAL LIQUID,$596.00,
2823783,VANCOMYCIN(VANCOCIN) CAP:250MG,$88.00,
2823785,VANCOMYCIN (VANCOCIN): SDV 1GM,$600.00,
2823789,RACEPINEPHRINE INH SOLN: 2.25%:  0.5ML,$144.00,
2823791,VARIVAX (VARICELLA VIRUS) VACCINE,$356.00,
2823792,VASELINE(WHITE PETROL JELLY)OINT:30GM,$153.00,
2823794,BLEPHAMIDE(SULFACET/PREDNISOL) OO:10/0.2,$346.00,
2823795,VASOCON A(NAPHAZOLIN/ANTAZOLINE) OS 15ML,$214.00,
2823798,VASODILAN(ISOXSUPRINE) TAB:20MG,$24.00,
2823799,VASODILAN(ISOXSUPRINE) TAB:10MG,$24.00,
2823801,VASOTEC(ENALAPRIL) TAB:20MG,$26.00,
2823802,VASOTEC (ENALAPRIL) TAB: 10MG,$26.00,
2823803,VASOTEC (ENALAPRIL) TAB: 2.5MG,$26.00,
2823804,VASOTEC (ENALAPRIL) TAB: 5MG,$26.00,
2823806,VASOTEC(ENALAPRILAT) SDV 2.5MG/2ML,$277.00,
2823807,VASOXYL INJ 20MG,$111.00,
2823808,VELBAN (vinBLAStine) INJ: 10 MG,$640.00,
2823809,VELOSEF(CEPHRADINE)CAP: 500 MG,$29.00,
2823812,VENOFER(IRON SUCROSE)INJ:100MG/5ML,$350.00,
2823813,VENTOLIN(ALBUTEROL) TAB: 2MG,$24.00,
2823814,VENTOLIN(ALBUTEROL) TAB: 4MG,$24.00,
2823815,VENTOLIN (ALBUTEROL) *ORAL* SYRP:2MG/5ML,$19.00,
2823816,VENTOLIN (ALBUTEROL) 90MCG MDI: 8GM,$263.00,
2823817,VENTOLIN (ALBUTEROL) INH: 0.5%   2.5MG,$32.00,
2823818,VENTOLIN (ALBUTEROL)INH 0.083% 2.5MG/3ML,$37.00,
2823820,VEPESID(ETOPOSIDE) MDV:100MG,$197.00,
2823821,VERAPAMIL (CALAN) HCL SDV: 5MG/2ML,$174.00,
2823823,VERELAN (VERAPAMIL)CAP:180MG,$24.00,
2823825,VERMOX(MEBENDAZOLE) CHEW TAB :100MG,$76.00,
2823827,VERSED (MIDAZOLAM) SDV 50MG/ 10ML,$139.00,
2823828,VERSED (MIDAZOLAM) SDV: 10MG/2ML,$249.00,
2823829,VERSED (MIDAZOLAM) SDV: 2MG/2ML,$65.00,
2823830,VESANOID(TRETINOIN)CAP:   10 MG,$109.00,
2823831,VESPRIN (TRIFLUPROMAZINE)SDV:20MG,$121.00,
2823834,VFEND (VORICONAZOLE) TAB: 200MG,$412.00,
2823835,VFEND (VORICONAZOLE) INJ:200MG/20ML,$1280.00,
2823836,VIAGRA (SILDENAFIL) TAB: 25MG,$72.00,
2823840,VIBRAMYCIN (DOXYCYCLINE) CAP: 100MG,$19.00,
2823841,VIBRAMYCIN (DOXYCYCLINE) SDV: 100MG,$309.00,
2823842,VIBRAMYCIN(DOXYCYCLINE) CAP:50MG,$19.00,
2823843,VICKS VAPORUB    JAR   1 EA,$153.00,
2823844,VICODIN(APAP/HYDROCODONE)TAB:5MG/500,$27.00,
2823845,VICODIN ES (USE LORTAB 7.5),$29.00,
2823846,VICODIN TUSS(HYDROCOD/GUAIFEN)SYR:5ML,$24.00,
2823849,VICON C CAP,$24.00,
2823850,VICON FORTE CAP,$24.00,
2823855,vinCRIStine INJ: 2MG,$1021.00,
2823858,VIOKASE(PANCRELIPASE) TAB,$24.00,
2823861,VIMPAT (LACOSAMIDE) TAB: 50MG,$21.00,
2823868,VIREAD (TENOFOVIR DISOPROXIL) TAB: 300MG,$219.00,
2823871,VIROPTIC(TRIFLURIDINE)OPTH SOLN:1% 7.5ML,$691.00,
2823872,VISCOAT(CHONDROITIN)SYRN:0.5ML,$1600.00,
2823873,VISINE(TETRAHYDROZOLINE) OS DROP:15ML,$137.00,
2823874,VISKEN(PINDOLOL) TAB: 10MG,$24.00,
2823875,VISKEN(PINDOLOL) TAB :5MG,$24.00,
2823876,VISTARIL (hydrOXYzine) CAP: 100MG,$26.00,
2823877,VISTARIL (hydrOXYzine) CAP: 50MG,$26.00,
2823879,VISTARIL (hydrOXYzine) SDV:100MG/2ML,$204.00,
2823880,VISTARIL (hydrOXYzine HCL) SDV:25MG/ML,$111.00,
2823881,VISTARIL (hydrOXYzine HCL) SDV 50MG/ML,$200.00,
2823882,VISTARIL(hydrOXYzine) CAP:25MG,$26.00,
2823887,VIT B12(CYANOCOBALAMIN) SDV:1000MCG/ML,$120.00,
2823889,VIT C(ASCORBIC ACID) INJ:1000MG/ML,$120.00,
2823890,VIT C(ASCORBIC ACID) TAB:250MG,$20.00,
2823891,VITAMIN C (ASCORBIC ACID) TAB: 500MG,$20.00,
2823892,VIT E CAP 800UNITS,$24.00,
2823893,VITAMIN D CAP 400UNITS,$24.00,
2823896,VITA B12(CYANOCOBALAMIN) INJ:1MG/1ML,$132.00,
2823897,VITACOM   10 ML,$120.00,
2823898,"VITAMIN A CAP 50,000 UNITS",$24.00,
2823902,VITAMIN E CAP 400 UNITS,$24.00,
2823904,VITAMIN E CREAM    EA,$96.00,
2823906,VITRAX(SODIUM HYALURONATE):  0.5 ML/EA,$1042.00,
2823917,VOLTAREN (DICLOFENAC SOD) TAB: 50MG,$19.00,
2823918,VOLTAREN (DICLOFENAC) TAB: 75MG,$19.00,
2823919,VOSOL HC(HYDROCORTISONE/ACETIC ACID) OTI,$138.00,
2823920,VYTONE(HYDROCORTISONE/IODOQUINOL)CREAM,$153.00,
2823923,WELLBUTRIN (buPROPion) ER TAB: 100MG,$19.00,
2823924,WELLBUTRIN (BUPROPION) TAB: 75MG,$10.00,
2823925,WESTCORT(HYDROCORTISONE) CREAM,$185.00,
2823933,WYAMINE(MEPHENTERMINE)INJ 2 ML,$111.00,
2823936,WYCILLIN INJ 2.4MU,$404.00,
2823938,WYCILLIN(PENICILLIN G) TBX:1.2MMU,$224.00,
2823939,WYCILLIN(PENICILLIN G) TBX:600MMU,$121.00,
2823941,WYDASE(HYALURONIDASE) SDV:150UNITS,$111.00,
2823946,XALATAN(LATANOPROST)OS :0.005% 2.5ML,$554.00,
2823947,XANAX (ALPRAZolam) TAB : 1MG,$20.00,
2823948,XANAX (ALPRAZolam) TAB : 0.25MG,$23.00,
2823949,XANAX (ALPRAZolam) TAB : 0.5MG,$23.00,
2823951,XELODA(CAPECITABINE) TAB:500MG *CHEMO,$214.00,
2823955,XIGRIS(DROTRECOGIN ALFA)SDV:5MG,$3506.00,
2823956,XIGRIS(DROTRECOGIN ALFA)SDV:20MG,$8670.00,
2823957,XOPENEX (LEVALBUTEROL)INH UD:0.63MG/3ML,$21.00,
2823958,XOPENEX (LEVALBUTEROL)INH UD:1.25MG/3ML,$20.00,
2823959,XOPENEX(LEVALBUTEROL)INH UD: .31MG/3ML,$38.00,
2823967,XYLOCAINE 2GM/D5W 250ML DRIP,$453.00,
2823968,XYLOCAINE (LIDOCAINE) JELLY 2%: 5ML,$134.00,
2823969,XYLOCAINE (LIDOCAINE) INJ 1%:  5ML,$132.00,
2823970,XYLOCAINE (LIDOCAINE) INJ 2%: 50ML,$89.00,
2823975,XYLOCAINE (LIDOCAINE) MDV 0.5%: 50ML,$132.00,
2823976,XYLOCAINE(LICOCAINE)SDV:0.5%   50 ML,$132.00,
2823977,XYLOCAINE W/EPI(LIDO W/EPI) INJ:1% 10ML,$121.00,
2823978,XYLOCAINE W/EPI(LIDO W/EPI) INJ:1% 20ML,$121.00,
2823979,XYLOCAINE W/EPI(LIDO W/EPI) INJ:1.5% 10M,$123.00,
2823980,XYLOCAINE W/EPI(LIDO W/EPI) MPF INJ:1.%,$121.00,
2823981,XYLOCAINE W/EPI(LIDO W/EPI)MDV:0.5% 50ML,$132.00,
2823983,XYLOCAINE W/ EPI (LIDO W/ EPI) 2%: 10ML,$137.00,
2823984,XYLOCAINE (LIDOCAINE) 1% INJ: 5ML,$132.00,
2823985,XYLOCAINE (LIDOCAINE) MPF 0.5% SDV: 50ML,$242.00,
2823986,XYLOCAINE (LIDOCAINE) MPF 1% SDV: 10ML,$159.00,
2823987,XYLOCAINE (LIDOCAINE) MPF 1% SDV: 30ML,$160.00,
2823989,XYLOCAINE (LIDOCAINE) MPF 2% SDV: 5ML,$76.00,
2823990,XYLOCAINE 2% (LIDOCAINE) AMP: 10ML,$118.00,
2823991,XYLOCAINE (LIDOCAINE)MPF AMP 2%:  10ML,$132.00,
2823992,URO-JET (LIDOCAINE) JELLY 2%: 5ML,$134.00,
2823993,XYLOCAINE (LIDOCAINE) 2% VISCOUS: 15ML,$35.00,
2823998,XYLOCAINE(LIDOCAINE) MPF IM:4%  5ML,$133.00,
2823999,XYLOCAINE(LIDOCAINE) 4% TOP SOLN,$139.00,
2824000,XYLOCAINE(LIDOCAINE) 5% OINT:35GM,$134.00,
2824001,XYLOCAINE(LIDOCAINE) MPF AMP 5% IM: 2ML,$141.00,
2824004,XYLOCAINE(LIDOCAINE) SDV: 1.5%,$113.00,
2824005,LIDOCAINE SYRINGE 2%: 100MG/ 5ML,$132.00,
2824006,XYLOCAINE (LIDOCAINE)UROJECT IMS 2%: 5ML,$132.00,
2824013,ZANAFLEX (TIZANIDINE) TAB: 4MG,$10.00,
2824015,ZANTAC(RANITIDINE)INJ:50MG/2ML,$220.00,
2824016,ZANTAC (raNITIdine) SYRUP: 150MG/10ML,$32.00,
2824017,ZANTAC(RANITIDINE) TAB:150MG,$30.00,
2824018,ZANTAC(RANITIDINE) TAB:300MG,$27.00,
2824019,ZAROXOLYN (metOLazone) TAB: 10MG,$24.00,
2824020,ZAROXOLYN (metOLazone) TAB: 2.5MG,$24.00,
2824021,ZAROXOLYN (metOLazone) TAB: 5MG,$24.00,
2824022,ZELNORM(TEGASEROD)TAB:6MG,$54.00,
2824024,ZEBATA(BISOPROLOL FUMARATE)TAB:5 MG,$24.00,
2824025,ZEMURON (ROCURONIUM) VIAL: 50MG/5ML,$275.00,
2824027,ZEPHREX LA,$24.00,
2824028,ZERIT(STAVUDINE)CAP:20MG,$47.00,
2824030,ZESTORETIC(LISINOPRIL/HCTZ)TAB: 20/12.5,$24.00,
2824031,ZESTORETIC(LISINOPRIL/HCTZ)TAB: 20/25,$24.00,
2824032,ZESTRIL (LISINOPRIL) TAB: 5MG,$27.00,
2824033,ZESTRIL(LISINOPRIL):10 MG,$27.00,
2824034,ZESTRIL (LISINOPRIL) TAB: 20 MG,$27.00,
2824035,ZESTRIL(LISINOPRIL):40 MG,$27.00,
2824036,ZETIA (EZETIMIBE) TAB: 10MG,$54.00,
2824037,ZIAC(BISOPROLOL 5MG/HYDROCHLOR) TAB :5MG,$24.00,
2824039,ZINACEF (CEFUROXIME) INJ: 750MG,$139.00,
2824040,ZINACEF (CEFUROXIME) INJ: 1.5GM,$280.00,
2824042,ZINC OXIDE OINT 40% 60GM,$19.00,
2824043,ZINC SULFATE CAP: 220MG,$24.00,
2824046,ZIOX (PAPARIN/UREA/CHLOROPH)OINT:30GM,$234.00,
2824048,ZITHROMAX (AZITHROMYCIN) SDV : 500MG,$312.00,
2824049,ZITHROMAX (AZITHROMYCIN) TAB  250MG,$141.00,
2824050,ZITHROMAX (AZITHROMYCIN) TAB : 600MG,$120.00,
2824051,ZITHROMAX (AZITHROMYCIN) SDV : 250MG,$141.00,
2824052,ZNP(ZINC PYRITHIONE) BAR:2%,$97.00,
2824053,ZOCOR (SIMVASTATIN) TAB: 10MG,$32.00,
2824054,ZOCOR (SIMVASTATIN) TAB: 20MG,$54.00,
2824057,ZOFRAN (ONDANSETRON) INJ: 4MG/2ML,$350.00,
2824058,ZOFRAN (ONDANSETRON) ODT:  4MG,$151.00,
2824060,ZOLOFT (SERTRALINE) TAB: 50MG,$38.00,
2824061,ZOLOFT (SERTRALINE) TAB: 100MG,$38.00,
2824065,ZONEGRAN(ZONISAMIDE) CAP:100MG,$27.00,
2824066,ZOSTRIX (CAPSAICIN) CREAM 0.025%: 60GM,$153.00,
2824068,ZOSYN (PIPERACIL.TAZOB) 2.25GM/NS 50ML,$315.00,
2824070,ZOSYN (PIPERACIL/TAZOB) 3.375GM/D5W 50ML,$420.00,
2824071,ZOSYN (PIPERACIL/TAZOB) 4.5GM/NS 100ML,$525.00,
2824072,ZOSYN (PIPERACIL/TAZOB) SDV 2.25GM,$123.00,
2824073,ZOSYN (PIPERACIL/TAZOB) SDV 3.375GM,$270.00,
2824074,ZOSYN (PIPERACIL/TAZOB) SDV 4.5GM,$356.00,
2824076,ZOVIRAX (ACYCLOVIR) 5% OINTMENT 15 GM,$318.00,
2824077,ZOVIRAX (ACYCLOVIR) CAP 200MG,$24.00,
2824080,ZOVIRAX (ACYCLOVIR) SDV 500MG/10ML,$585.00,
2824082,ZOVIRAX(ACYCLOVIR) OINT:5%,$318.00,
2824083,ZYBAN (buPROPion) TAB 150 MG,$24.00,
2824084,ZYLOPRIM (ALLOPURINOL) TAB 100MG,$23.00,
2824085,ZYLOPRIM (ALLOPURINOL) TAB 300MG,$23.00,
2824086,ZyPREXA (OLANZAPINE) TAB 2.5MG,$97.00,
2824087,ZyPREXA (OLANZAPINE) TAB 5MG,$41.00,
2824090,ZyrTEC (CETIRIZINE) TAB 10MG,$20.00,
2824091,ZYVOX (LINEZOLID) 600MG/NS 300ML,$203.00,
2824092,ZYVOX (LINEZOLID) TAB 600MG,$720.00,
2824114,DUONEB(ALBUTEROL/IPRATROPIUM) INH: 3ML,$77.00,
2824130,HHN XOPENEX(LEVALBUTEROL HCL)0.63 MG/3ML,$21.00,
2824169,TNKase (TENECTEPLASE) INJECTION 50MG,$28167.00,
2824170,TOBI (TOBRAMYCIN) INHALATION   300MG,$264.00,
2824173,AGRYLIN (ANAGRELIDE) CAPSULE: 0.5MG,$8.00,
2824175,HALFLYTELY(PEG3350 210G/DULCOLAX 5MG) 2L,$210.00,
2824177,MOVIPREP (PEG 3350 100G/NA SULF) POWDER,$210.00,
2824179,TEFLARO (CEFTAROLINE) VIAL 400MG,$315.00,
2824181,TEFLARO (CEFTAROLINE) VIAL 600MG,$315.00,
2825011,HEPATITIS B VAC PEDI / ADOLESCENT,$541.00,
2825012,HEPATITIS B VACCINE:  ADULT,$760.00,
2825014,TYGACIL (TIGECYCLINE) INJ: 50MG,$10.00,
2825015,MERREM(MEROPENEM)INJ:100MG,$39.00,
2825016,SUBLIMAZE (FENTANYL) INJ: 100MCG/2ML,$108.00,
2825103,OMNIPAQUE (IOHEXOL) 300M/M BTL:100ML,$770.00,
2825139,ISOVUE (IOPAMIDOL) 61%:50ML,$57.00,
2825140,PULMICORT (BUDESONIDE) INH: 0.5MG/2ML,$51.00,
2825141,ISOVUE (IOPAMIDOL) 61% BTL:150ML,$162.00,
2825174,OPTIRAY (IOVERSOL) 68% SYR:125ML,$476.00,
2825175,GASTROGRAFIN 66-10%: 120ML,$81.00,
2825176,MAGNEVIST:5ML,$89.00,
2825177,MAGNEVIST:15ML,$262.00,
2825178,MAGNEVIST:15ML SYRINGE,$277.00,
2825179,RENO-60:50ML,$55.00,
2825180,MAGNEVIST:10ML,$176.00,
2825181,CYSTOGRAFIN 30%: 300ML,$134.00,
2825182,CYSTOGRAFIN 18%: 300ML,$115.00,
2825278,RHOGAM INJECTION DOSE:1 EACH,$639.00,
2825403,AMPICILLIN (AMPICILLIN) 1GM/NS 50ML IVPB,$81.00,
2825404,AMPICILLIN (AMPICILLIN) 2GM/NS100ML IVPB,$116.00,
2825405,ANCEF (CEFAZOLIN) 1GM/D5W 50ML IVPB,$158.00,
2825412,CLEOCIN (CLINDAMYCIN) 900MG/D5W 50ML,$588.00,
2825414,DIFLUCAN (FLUCONAZOLE) 400MG/NS0.9%200ML,$0.00,
2825415,FLAGYL (METRONIDAZOLE) 250MG/NS 50ML,$5.00,
2825416,FLAGYL 750MG/NS 150ML IVPB,$5.00,
2825419,ANCEF (CEFAZOLIN) 2GM/D5W 100ML IVPB,$315.00,
2825424,UNASYN  (AMPICILLIN/SULBA) 1.5GM INJ,$107.00,
2825425,UNASYN (AMPICILLIN/SULBA)  3GM INJ,$210.00,
2825426,penicillin G POT (PENICILLIN) 3MU/NS50ML,$81.00,
2825427,penicillin G POT (PENICILLIN)5MU/NS100ML,$116.00,
2825429,UNASYN (AMP/SULB) 1.5GM/NS50ML IVPB,$210.00,
2825430,UNASYN (AMP/SULB) 3GM/NS 100ML IVPB,$420.00,
2825431,SULAR(NISOLDIPINE)TAB:20MG,$21.00,
2825432,VANCOMYCIN (VANCOCIN) 1GM/D5W 250ML IVPB,$794.00,
2825444,PROPOFOL 1000MG/100ML DRIP,$928.00,
2825447,INSULIN (R) 100UNITS/NS 100ML DRIP,$0.00,
2825448,INTEGRILIN 200MG/100ML DRIP,$3324.00,
2825453,SANDOSTATIN 1250MCG/NS 250ML DRIP,$0.00,
2825457,VALIUM (diazePAM) ORAL SOLN: 5MG/5ML,$177.00,
2825458,NYSTATIN POWDER,$288.00,
2825459,GRIFULVIN V (GRISEOFULVI) 125MG/5ML SUSP,$51.00,
2825461,SINGULAR (MONELUKAST) 4MG PACKET,$79.00,
2825462,SINGULAR (MONTELUKAST)CHEW TAB:5MG,$79.00,
2825463,RESTORIL (TEMAZEPAM) CAP: 7.5MG,$76.00,
2825464,PAXIL (PARoxetine) TAB: 10MG,$62.00,
2825465,GLUCOVANCE (glyBUR/metFORMIN) TAB :5/500,$24.00,
2825466,PROTONIX (PANTOPRAZOLE)TAB: 20MG,$51.00,
2825467,PROMETRIUM (PROGESTERONE)CAP:100MG,$32.00,
2825468,PAXIL(PARoxetine CR) TAB: 25MG,$38.00,
2825469,PAXIL (PARoxetine CR) TAB: 12.5MG,$38.00,
2825473,REQUIP (ROPINIRole) TAB: 0.25MG,$24.00,
2825474,TOPAMAX (TOPIRAMATE)TAB: 200MG,$72.00,
2825475,GLUCOPHAGE (METFORMIN) TAB: 500MG,$16.00,
2825476,GEODON (ZIPRASIDONE) CAP: 40MG,$51.00,
2825478,CRESTOR (ROSUVASTATIN) TAB 20MG,$38.00,
2825479,CRESTOR (ROSUVASTATIN) TAB 10MG,$38.00,
2825480,ATACAND (CANDESARTAN TAB: 8MG,$20.00,
2825481,ARISTOCORT (TRIAMCINOLONE ACET) 0.50% CR,$63.00,
2825484,GLUCOVANCE(glyBUR/metFORMIN)TAB: 2.5/500,$14.00,
2825485,AMARYL (GLIMEPIRIDE) TAB: 4MG,$19.00,
2825486,AMARYL (GLIMEPIRIDE) TAB: 2MG,$11.00,
2825487,FLOXIN (OFLOXACIN) OTIC DROPS: 0.3%,$317.00,
2825489,REMERON (MIRTAZAPINE) TAB: 15MG,$34.00,
2825490,ACTIDOSE (CHARCOAL) IN AQUA: 25GM/120ML,$137.00,
2825492,ROCALTROL (CALCITRIOL) INJ: 1MCG/ML,$138.00,
2825494,MENEST(ESTROGENS ESTERIFIED)TAB: 0.625MG,$11.00,
2825495,MENEST(ESTROGENS ESTERIFIED)TAB: 0.3MG,$11.00,
2825496,NEPHRO-VITE TAB,$11.00,
2825497,SYNTHROID (LEVOTHYROXINE) TAB 137 MCG,$19.00,
2825498,RAZADYNE(GALANTAMINE)IR TAB: 4MG,$65.00,
2825499,PHENERGAN (PROMETHAZINE) SYR 6.25MG/5ML,$11.00,
2825500,DDAVP (DESMOPRESSIN) TAB: 0.2MG,$54.00,
2825501,CASODEX (BICULATAMIDE) TAB:50MG *CHEMO,$170.00,
2825502,ATARAX(HYDROXYZINE HCL)TAB:25MG,$11.00,
2825503,ACTOS (PIOGLITAZONE) TAB: 45MG,$80.00,
2825505,CLEARASIL TUBE 0.65 OZ,$38.00,
2825506,ALEVE(NAPROXEN)TAB:220MG,$11.00,
2825507,PEDIASURE 8OZ,$21.00,
2825508,POLY-VI-FLOR DROPS:025MG/ML,$65.00,
2825509,STOMAHESIVE 2 OZ,$119.00,
2825511,WELLBUTRIN (buPROPion) ER TAB: 150MG,$26.00,
2825512,ZOVIRAX (ACYCLOVIR) INJ : 1GM/20ML,$899.00,
2825513,FIBERSOURCE 1000ML,$156.00,
2825514,MAG SR (MAGNESIUM CHLORIDE)SR TAB: 64MG,$11.00,
2825515,PREMPRO(PREMARIN/PROVERA)TAB:0.45/1.5,$16.00,
2825517,PROGRAF(TACROLIMUS)CAP:1MG,$51.00,
2825518,KOVIA(PARAIN/UREA)OINT:30GM,$296.00,
2825519,CIPRO (CIPROFLOXACIN) SUSP 500MG/5ML,$72.00,
2825520,MORRHUATE INJECTION: 1500MG/30ML,$376.00,
2825521,TRILEPTAL (OXcarbazepine) SUSP 300MG/5ML,$18.00,
2825522,THORAZINE (chlorproMAZINE) INJ 50MG/2ML,$24.00,
2825523,THALOMID(THALIDOMIDE)CAP:100MG,$419.00,
2825525,ARGATROBAN INJ 250MG/2.5ML,$3233.00,
2825526,METHADONE SOLN:5MG/5ML,$19.00,
2825528,MIRAPEX (PRAMIPEXOLE) TAB: 0.25MG,$20.00,
2825529,STERILE WATER INJ:50ML,$23.00,
2825530,ROCALTROL (CALCITRIOL) CAP: 0.25MCG,$16.00,
2825532,CORTROSYN (COSYNTROPIN) INJ: 0.25MG,$386.00,
2825533,NS FLUSH SYRINGE 10ML,$9.00,
2825534,MENACTRA(MENINGOCOCCAL VAC)SDV:4MCG/0.5M,$644.00,
2825535,AVODART (DUTASTERIDE) TAB: 0.5MG,$24.00,
2825536,MAGNESIUM RIDER 4GM/100ML STERILE WATER,$92.00,
2825537,LYRICA (PREGABALIN ) CAP: 50MG,$24.00,
2825538,LYRICA (PREGABALIN) CAP: 75MG,$24.00,
2825539,ANTIZOL (FORMEPIZOLE) SDV: 1.5GM/1.5ML,$4780.00,
2825540,DIASTAT (diazePAM) RECTAL SYRINGE: 10MG,$806.00,
2825541,MULTAQ (DRONEDARONE) TAB: 400MG,$23.00,
2825543,MOBIC (MELOXICAM) TAB: 7.5MG,$9.00,
2825544,MICARDIS (TELMISARTAN) TAB: 20MG,$17.00,
2825545,PHENERGAN (PROMETHAZINE) TAB: 25MG,$9.00,
2825550,HEPARIN 1000 UNITS / NS 500ML,$88.00,
2825551,LACTINEX (ACIDOPHILUS) PACKET: 1GM,$8.00,
2825552,ZOVIRAX (ACYCLOVIR) TAB 400MG,$8.00,
2825553,VIBRAMYCIN (DOXYCYCLINE) CAP: 100MG,$8.00,
2825554,hydroCHLOROthiazide TAB: 12.5MG,$8.00,
2825555,TRILEPTAL (OXcarbazepine) TAB: 300MG,$8.00,
2825556,VITAMIN D TAB 1000 INTERNATIONAL UNIT,$7.00,
2825557,RisperDAL (RisperiDONE) TAB: 0.25MG,$8.00,
2825558,REGLAN (METOCLOPRAMIDE) TAB: 5MG,$8.00,
2825559,INSULIN LEVEMIR(DETEMIR)100UNITS/ML:10ML,$289.00,
2825560,ULTRACET (TRAMADOL/ACE) 37.5/325MG TAB,$8.00,
2825561,VIMPAT (LACOSAMIDE) ORAL SOLN: 10MG/ML,$5.00,
2825562,MORPHINE SULFATE SYRINGE: 15MG/ML,$158.00,
2825563,NEURONTIN (GABAPENTIN) CAP: 400MG,$8.00,
2825564,FOLIC ACID TAB: 400MCG,$7.00,
2825565,SENSOR (BUPIVACAINE) 0.75% VIAL:10ML,$53.00,
2825566,VITAMIN B12 (CYANOCOBALAMINE) TAB: 1MG,$7.00,
2825567,OxyCONTIN (oxyCODONE ER) TAB: 10MG,$24.00,
2825568,OxyCONTIN  (oxyCODONE ER) TAB: 40MG,$35.00,
2825569,DECADRON (DEXAMETHASONE) TAB: 1MG,$8.00,
2825570,CRANBERRY CAP 425MG,$7.00,
2825571,XYLOCAINE (LIDOCAINE) 1% MDV: 50ML,$24.00,
2825572,VASOTEC (ENALAPRILAT) SDV: 1.25MG/ML,$277.00,
2825573,AYR SALINE NASAL GEL: 0.5 OZ,$30.00,
2825574,INSULIN REGULAR 100UNITS/ML: 3ML,$35.00,
2825575,INSULIN NPH 100UNITS/ML: 3ML,$35.00,
2825576,INSULIN HumaLOG(LISPRO) 100UNITS/ML: 3ML,$81.00,
2825577,QVAR (BECLOMETHASONE) INH: 40MCG,$347.00,
2825578,QVAR (BECLOMETHASONE) INH: 80MCG,$520.00,
2825579,AUGMENTIN(AMOX/CLAV)SUSP 400MG/57MG/5ML,$58.00,
2825580,ZITHROMAX (AZITHROMYCIN ) SP: 200MG/5ML,$70.00,
2825581,RANEXA (RANOLAZINE) TAB: 500MG,$21.00,
2825582,XIFAXAN (rifAXIMin) TAB: 200MG,$47.00,
2825583,BOOSTRIX DIPH/AC PERT/TETANUS 7>:0.5ML,$208.00,
2825584,MOTRIN (IBRUPROFEN) SUSP:100MG/5ML (PSA),$12.00,
2825585,MYCAMINE (MICAFUNGIN) INJ: 50MG,$462.00,
2825586,MYCAMINE (MICAFUNGIN ) INJ: 100MG,$924.00,
2825587,CARDIZEM (diltiaZEM) SDV 50MG/10ML,$347.00,
