Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
CT CSPINE W & W/O IV CONTRAST,2309,
CT CSPINE W & W/O CONTRAST,2470,
CT CSPINE W CONTRAST,2969,
CT CSPINE W/O CONTRAST,2540,
CT CYSTOGRAPHY 72193,2859,
CT GALLBLADDER DRAINAGE,4232,
CT GALLBLADDER DRAINAGE,4528,
CT GUIDED ASPIRATION,1032,
CT GUIDED ASPIRATION,1104,
CT GUIDED NEEDLE PLCMNT,3342,
CT HEAD W IV CONTRAST,2580,
CT HEAD W/O IV CONTRAST,2130,
CT HEAD W & W/O IV CONTRAST,3185,
CT HEAD W & W/O CONTRAST,3185,
CT HEAD W CONTRAST,2580,
CT HEAD W/O CONTRAST,2130,
CT HEPATOTOMY ABSCESS DRAINAGE,3472,
CT HEPATOTOMY ABSCESS DRAINAGE,2428,
CT HEAD STROKE 70450,378,
CT LIVER BIOPSY NEEDLE PLCMNT,762,
CT LIVER BIOPSY NEEDLE PLCMNT,815,
CT LOWER EXTREMITIES W CONTRAST,2540,
CT LOWER EXTREMITIES W/O CONTRAST,2168,
CT LOWER EXTREMITY W & W/O CONTRAST,2069,
CT LOW DOSE STONE PROTOCOL 74176,1818,
CT LSPINE W IV CONTRAST,2775,
CT LSPINE W & W/O CONTRAST,2470,
CT LSPINE W CONTRAST,2969,
CT LSPINE W/O CONTRAST,2540,
CT LUNG BIOPSY NEEDLE PLCMNT,2258,
CT LUNG SCAN HIGH RESOLUTION,2540,
CT LYMPH NODES BIOPSY,1873,
CT MAXILLOFACIAL W IV CONTRAST,2352,
CT MAXILLOFACIAL W & W/O CONTRAST,1969,
CT MAXILLOFACIAL W CONTRAST,2517,
CT MAXILLOFACIAL W/O CONTRAST,2122,
CT MUSCLE BIOPSY,1873,
CT ORBIT W & W/O IV CONTRAST,2870,
CT ORBIT W & W/O CONTRAST,3071,
CT ORBIT W CONTRAST,2555,
CT ORBIT W/O CONTRAST,2189,
CT PANCREAS BIOPSY NEEDLE PLCMNT,1730,
CT PELVIS W & W/O CONTRAST,3447,
CT PELVIS W CONTRAST,2859,
CT PELVIS W/O CONTRAST,2509,
CT PETROUS BONE W & W/O CONTRAST,3071,
CT PETROUS BONE W CONTRAST,2555,
CT PETROUS BONE W/O CONTRAST,3313,
CT PELVIC ABSCESS DRAINAGE,3553,
CT PELVIS W/O CONTRAST TARGET APPY,2509,
CT PERIPANCREATIC DRAINAGE,12210,
CT PERIRENAL/ RENAL DRAINAGE,2428,
CT PERITONEAL ABSCESS DRAINAGE,2428,
CT PLEURA BIOPSY,2318,
CT POSTERIOR FOSSA W & W/O CONTRAST,3071,
CT POSTERIOR FOSSA W CONTRAST,2555,
CT POSTERIOR FOSSA W/O CONTRAST,2189,
CT PROSTATE BIOPSY,2979,
CT RENAL BIOPSY NEEDLE PLCMNT,1448,
CT RETROPERITONEAL ABSCESS DRAINAGE,3716,
CT SCANOGRAM,491,
CT SELLA W & W/O CONTRAST,3071,
CT SELLA W CONTRAST,2555,
CT SELLA W/O CONTRAST,2189,
CT SOFT TISSUE NECK W & W/O CONTRAST,3071,
CT SOFT TISSUE NECK W CONTRAST,2555,
CT SOFT TISSUE NECK W/O CONTRAST,2189,
CT SPINAL CORD BIOPSY,2314,
CT SUBDIAPHRAGMATIC ABSCESS DRIANAGE,2428,
CT THERAPY GUIDANCE ALL EXAMS,948,
CT THORAX W & W/O CONTRAST,3643,
CT THORAX W CONTRAST,2979,
CT THORAX W/O CONTRAST,2540,
CT THYROID BIOPSY,1104,
CT TRANSCATHETER BIOPSY,3263,
CT TSPINE W & W/O CONTRAST,3171,
CT TSPINE W CONTRAST,2537,
CT TSPINE W/O CONTRAST,2540,
CT UPPER EXTREMITIES W CONTRAST,2540,
CT UPPER EXTREMITIES W/O CONTRAST,2185,
CT UPPER EXTREMITY W & W/O CONTRAST,2069,
CT UROGRAM 74178,4577,
Catheter Nephrostomy,298,
Catheter Diagnostic,18,
Catheter Guiding Mach 1,136,
"DEXA AXIAL SKELET (HIPS, PELVIS, SPINE)",604,
"DEXA SKELET PERIP (RADIUS, WRIST, HEEL)",350,
DEXA VERTEBRAL FRACTURE ASSESSMENT,424,
DEXA AXIAL SKELETON WITH VERTEBRAL FRACT,233,
DOBUTAMINE 250MG INJ,216,
DRAINAGE BAGS SUCTION,145,
DRAINAGE BILIARY CATHETER,286,
DRAINAGE CATHETER DRAINER CENTESIS,64,
Drainage bag,61,
ECHO AT REST AND DURING STRESS,958,
ECHO STRESS TEST ECHO - Report,,51
ECHO FETAL ECHO COMPLETE W DOPPLER,358,
ECHO FETAL ECHO W DOPPLER REPEAT,207,
ECHO FETAL ECHOCARDIOGRAPHY 2D,1316,
ECHO PEDIATRIC 2D ECHO W DOPPLER,2309,
ECHO PEDIATRIC W/DOPPLER - Report,,1157
ECHO TWO D ECHO W DOPPLER ANALYSIS,2309,
ECHO ADULT W/DOPPLER - Report,,810
ECHO TWO DIMENSIONAL ECHOCARDIOGRAM,2438,
ECHO TWO DIMENSIONAL ECHOCARDIOGRAM - Report,,576
ECHO BUBBLE STUDY,2309,
ECHO BUBBLE STUDY W/DOPPLER - Report,,810
ECHO TEE TRANSESOPHAGEAL ECHOCARDIOGRAPH,1320,
ECHO TRANSESOPHAGEAL - Report,,591
ECHO 2D W DOPPLER ANALYSIS SPH,2309,
ECHO 2D W DOPPLER AND BUBBLE STUDY SPH,2309,
ECHO ADULT LIMITED,488,
ECHO ADULT LIMITED - Report,,122
ECHO DOPPLER PULSED WAVE,139,
ECHO DOPPLER COLOR FLOW VELOCITY MAPPING,132,
EKG (ER/INPATIENT/URGENT AMBULATORY) - Report,,891
EKG (TO BE DONE IN CARDIOLOGY DEPT) - Report,,761
EKG (ER/INPATIENT/URGENT AMBULATORY) - Report,,155
EKG (ER/INPATIENT/URGENT AMBULATORY) - Report,,608
EKG (ER/INPATIENT/URGENT AMBULATORY) - Report,,587
EKG (ER/INPATIENT/URGENT AMBULATORY),761,
EKG (TO BE DONE IN CARDIOLOGY DEPT),761,
EKG ECG RYTHYM STRIP INTERP,396,
EKG TECH 93005,761,
EMBOLIZATION CONTOUR VIAL PCA,710,
EMBOLIZATION EMBOSPHERE MICROSPHERES,817,
EMBOLIZATION EMBOZENE MICROSPHERES,683,
EMBOLIZATION GELFOAM,241,
EMBOLIZATION COILS AZUR CX DETACHABLE 018,2250,
EMBOLIZATION ONCOZENE,5025,
EMBOLIZATION COILS AZUR CX CONTROLLER DEVICE,502,
EMOBLIZATION LC BEADS,2132,
Embolization Coils Azure,575,
Embolization Coils Cook,150,
Embolization Quadrasphere,4996,
FLEXIM REG LOOP CATHETER KIT,999,
"FLUORO DEXIGLUCOSE F18,DOSE",1260,
G-TUBE 3-PORT,130,
"GALLIUM CITRATE, MCI/GA67",37,
GASTROSTOMY FEEDING TUBE,418,
GASTROJEJUNAL FEEDING TUBE 45 CM,1018,
GASTROJEJUNAL FEEDING TUBE 30 CM,697,
GASTRO PEXY ANCHOR SET,353,
GI SUTURE ANCHOR SET,354,
GUIDE WIRE AMPLATZ SHORT,208,
GUIDE WIRE COONS,169,
GUIDE WIRE COONS/STAR/ROSEN,169,
GUIDE WIRE V-14 CONTROL,551,
GUIDE WIRE FATHOM,1603,
GUIDE WIRE THRUWAY SHORT TAPER,650,
"GUIDE WIRE,ANGLED",1337,
GUIDE WIRE AMPLATZ LONG,298,
GUIDE WIRE HYDRO ANGLED,273,
GUIDE WIRE GT,760,
GUIDE WIRE JOURNEY .014,638,
GUIDE WIRE MOVABLE CORE,107,
GUIDE WIRE PLATINUM PLUS,540,
GUIDEWIRE TIP DEFLECTING DISPOSABLE,84,
GUIDEWIRE V-18 CONTROL,136,
GUIDEWIRE MAGIC TORQUE,271,
GUIDEWIRE .018 NITINOL 40CM,78,
GUIDEWIRE .018 NITINOL 80CM,130,
GUIDEWIRE .018 INQWIRE BASIC,50,
Guidewire 15mm J Tip,151,
Guidewire Rosen,208,
Guidewire Hydro Angled Stiff,54,
Guidewire Bentson,13,
HCIKMAN CATHETER,1574,
HEMODIALYSIS CATHETER EQUISTREAM,2140,
HEMODIALYSIS CATHETER CENTROS-FLO,1631,
HEMODIALYSIS CATHETER PALINDROME,1571,
HEMOSTASIS VALVE GUARDIAN II,87,
HEMOSTASIS PADS,155,
HEMOSTASIS VALVES,195,
I 131 MIBG 150-200 UCI(0.18MCI),2126,
"I 131 THERAPY CAPS, 10 M",464,
"I 131 THERAPY CAPS, 12 M",524,
"I 131 THERAPY CAPS, 29.9",1097,
"I 131 DX CAPSULE,PER 1 MCI",147,
IDIUM 111 DTPA,1669,
INDIUM 111 PENTETREOTIDE/OCTREO TO 6 MCI,10808,
INDIUM III PENTETREOT UP TO 6 MCI,6686,
INDIUM IN-111 UP TO 5 MCI,9222,
"INDIUM OXINE, DOSE",947,
"INDIUM WBC SETUP, EACH/11",47,
"INDIUM WBC TAG CHRG,EA/IN",504,
IR  ANGIOGRAM VERTEBRAL BILATERAL,795,
IR ABDOMINAL / RETROPERITONEAL BIOPSY,966,
IR ABDOMINAL AORTA WITH RUNOFF,660,
IR ABDOMINAL AORTAGRAM,5944,
IR ABDOMINAL AORTA WITH RUNOFF - Report,,844
IR ABLATION CRYOTHERAPY 50593,2317,
IR ADRENAL VENOGRAPHY BILATERAL,1587,
IR ADRENAL VENOGRAPHY UNILATERAL,1366,
IR ANGIO EXTREMITY UNILATERAL,1740,
IR ANRYSM PRESSURE SENSOR,1999,
IR ANTEGRADE PYELOGRAPHY,751,
IR ANGIOGRAM VERTEBRAL UNILATERAL,531,
IR ARTHRO/ASPIRATE/INJECT INTERMED JOINT,585,
IR ARTHRO/ASPIRATE/INJECT MAJOR JOINT,585,
IR ARTHRO/ASPIRATE/INJECT SMALL JOINT,585,
IR ARTHROCENTESIS / JOINT INJECTION US G,262,
IR ARTHROCENTESIS /JOINT INJECTION US GU,262,
IR ARTHROCENTESIS/ JOINT INJECTION US GU,262,
"IR ATHERECTOMY, PTA TIBIAL-PERONEAL",3586,
"IR ATHERECTOMY,PTA TIB-PERONEAL ADD'L VESSEL ADD-ON",1649,
IR ATHERECTOMY/PTA SFA-POPLITL,17674,
IR AV DIALYSIS SHUNTOGRAM ONLY 36901,1695,
IR AVF INITIAL FISTULAGRAM,575,
IR AVF INITIAL FISTULAGRAM - Report,,380
IR AV DIALYSIS SHUNTOGRAM PTA 36902,3538,
IR AV DIALYSIS SHUNTOGRAM STENT/PTA36903,1695,
"IR AV SHUNT THROMBECTOMY, LYSIS 36904",1597,
"IR AV SHUNT THROMBECTOMY,LYSIS,PTA 36905",2005,
"IR AV SHUNT THROMBECTOMY,STENT,PTA36906",2339,
IR AV DIALYSIS CENTRAL SEGMENT PTA+36907,582,
IR AV DIALYSIS CENTRAL STENT+36908,873,
IR AV DIALYSIS SHUNT EMBOLIZATION +36909,832,
IR BILIARY STENT PLACEMENT EXISTING ACCESS - Report,,644
IR BILIARY DUCT DILATION W OR W/O STENT,613,
IR BILIARY TUBE REMOVAL,131,
IR BILIARY STENT AND DRAIN CATH PLACEMEN,2814,
IR BILIARY STENT PLACEMENT NEW ACCESS,2356,
IR BILIARY CATH CONVERSION EXTERNAL TO I,1232,
IR BLOOD PATCH EPIDURAL INJECTION,920,
IR BONE BIOPSY DEEP,4202,
IR BONE BIOPSY NEEDLE SUPERFICIAL,265,
IR CAROTID ANGIOGRAM BILATERAL,6232,
IR CAROTID CERVICAL BILATERAL,1053,
IR CAROTID CERVICAL UNILATERAL,1272,
IR CAROTID EXTERNAL BILATERAL,1904,
IR CAROTID EXTERNAL UNILATERAL,1717,
IR CATH BILI/PANCREAS DUCT,1683,
IR CATH PLCMNT1 ABD/PELVIS/LWR EXTREMITY,591,
IR CATH PLCMNT1 THORACIC OR BRACHIALCEP,591,
IR CATH PLCMNT2 ABD/PELVIS/LWR EXTREMITY,950,
IR CATH PLCMNT2 THORACIC OR BRACHIALCEP,591,
IR CATH PLCMNT3 ABD/PELVIS/LWR EXTREMITY,1134,
IR CATH PLCMNT3 THORACIC OR BRACHIALCEP,591,
IR CATH PLCMNT1 THORACIC OR BRACHIALCEP,8078,
"IR CATH PLCMNT ADD'L 2ND,3RD & BEYOND ABD/PEL/LE",263,
IR CATH PLCMNT NONSLCT THOR,1198,
IR CATH PLCMNT COMMON CARTD,1227,
IR CATH PLCMNT INTERNAL CARTD,1448,
IR CATH PLCMNT EXT CARTD ADDON,615,
IR CATH PLCMNT INT CARTD ADDON,939,
IR CECOSTMY REPLACE W/ PERMANENT TUBE,238,
IR CECOSTOMY PERCUTANEOUS,783,
IR CERVICOCEREBRAL ANGIO,1065,
IR CELIAC PLEXUS BLOCK W/WO RAD GUIDE,443,
IR CHANGE BILIARY DRAIN CATHETER,1946,
IR CHANGE NEPHROSTOMY TUBE,542,
IR CHANGE PERCUTANEOUS DRAINAGE CATHETER,1222,
IR CHEMOEMBOLIZATION,19859,
IR CHOLANGIOGRAM- EXISTING CATHETER,560,
IR CHEMO INTRA-ARTERIAL PUSH 96420,534,
"IR CT GUIDED BIOPSY,APIRATION,INJECTION",3342,
IR CT GUIDED VERTEBROPLASTY,466,
IR DISCOGRAPHY CERVICAL,264,
IR DISCOGRAPHY LUMBAR,275,
IR DISCOGRAPHY LUMBAR  RS&I,400,
IR DISCOGRAPHY CERVICAL RS&I,386,
IR DRAINAGE BREAST ABSCESS DEEP,1390,
IR DRAINAGE FOREARM/WRIST ABSCESS,2410,
IR DRAINAGE UPPER ARM/ELBOW ABSCESS,967,
IR DRAINAGE LUNG ABSCESS,958,
IR DRAINAGE CATHETER EVALUATION 49424,185,
IR EMBOLIZATION ARTERIAL NON TUMOR 37242,21250,
IR EMBOLIZATION RS&I 75894,1932,
IR EMBOLIZATION HEAD/NECK,3568,
"IR EMBOLIZATION ARTERY,VEIN BLEED 37244",3296,
IR EMBOLIZATION VENOUS NON TUMOR 37241,2062,
"IR EMBOLIZATION TUMOR, ORGAN ISCHEMIA 37243",19859,
IR ENDOVASC AAA REPAIR 1PTTUBE,5162,
IR ENDOVASC AAA REPAIR 3PTTUBE,5162,
IR ENDOVASC AAA REPAIR LONG,5162,
IR ENDOVASC AAA REPAIR SMTUBE,5162,
IR ENDOVASC DISTAL PROSTHESIS DELAYED,4829,
IR ENDOVASC EXTEND INITIAL PROSTHESIS,4829,
IR ENDOVASC EXTENSN ADD'L PROTH,1999,
IR ENDOVASC ILIAC OCCLUSION DEVICE,1999,
IR ENDOVASC ILIAC REPAIR W/ GRAFT,5162,
IR ENDOVASC INSERT PROSTHESIS,4829,
IR ENDOVASC PROSTHESIS EACH ADDITIONAL,1999,
IR ENDOVASC REPAIR SUBCLAV,5162,
IR ENDOVASCULAR REPAIR,5162,
IR EPIDURAL IN CERV/THORAC,1727,
IR EPIDURAL INJ LUMBAR/SACRAL,1613,
IR EPIDURAL LUMBAR SACRUM ADD'L LEVEL,386,
IR EVALUATE CVA DEVICE CONTRAST/FLUORO,575,
IR EVALUATE EXISTING GI TUBE,311,
IR FINE NEEDLE ASPIRATION,1104,
IR FLUORO GUIDED CVA DEVICE,1394,
IR FLUORO GUIDED NEEDLE PLACEMENT,512,
IR FLUORO GUIDED NEPH TUBE REMOVAL,1708,
IR FLUORO GUIDED VERTEBROPLASTY,466,
IR FLUORO GUIDANCE,262,
IR FOLLOW-UP THRPY OCC/EMBOL,85,
IR FOREIGN BODY RETRIEVAL INTRA VASCULAR,1308,
IR GALLBLADDER DRAINAGE,4528,
IR GASTROJEJUNOSTOMY CHANGE,1528,
IR GASTROJEJUNAL CONVERSION GASTRIC TO G,969,
IR GASTROSTOMY GTUBE REPLACEMENT,631,
IR GI TUBE PLACEMENT,1406,
IR HEPATOTOMY ABSCESS DRAINAGE,2428,
IR I&D APPEND ABSCESS PERCUTANEOUS,2428,
IR ILIAC ARTERY STENT W or W/O PTA,1800,
IR INJ EXIST CATH CHOLANGIO,1287,
IR INJECT MYELO LUMBAR,835,
IR INJECTION ANY TYPE LUMBAR/SACRUM,1727,
IR INJECTION EXTREMITY VENOGRAM,391,
IR INJECTION SI JOINTS,575,
IR INTRO NEEDLE EXTREMITY ARTERY,336,
IR INJECTION SI JOINTS - Report,,1627
IR INTRO OF PERCUT. BILIARY STENT,8643,
IR INTRO SELECTIVE CATH VEIN 1ST,391,
IR INTRO SELECTIVE CATH VEIN 2ND,391,
IR INTRODUCTION OF CATHETER IN AORTA,265,
IR INTRODUCTION OF LONG GI TUBE,138,
IR INJECTION FOR SIALOGRAM NC,178,
IR INFUSION THERAPY NOT LYSIS 61650,2519,
IR IVC FILTER PLACEMENT,10791,
IR IVC FILTER REMOVAL,1299,
IR IVC FILTER REPOSITIONING,1304,
IR LIVER BIOPSY,815,
IR LOWER EXTREMITY BILATERAL ANGIOGRAM,6397,
IR LOWER ARM ABSCESS DRAINAGE,1315,
IR LUNG BIOPSY,2258,
IR LYMPH NODES BIOPSY,1873,
IR LYMPHANGIO INJECTION PROCEDURE,580,
IR MARKER PLACEMENT FOR RAD THERAPY ABDO,1488,
IR MARKER PLACEMENT FOR RAD THERAPY THOR,1496,
IR MECH REMOVAL TUNNELED CVA DEVICE,2272,
IR MECH REMOVAL TUNNELED CVA DEVICE,2430,
IR MODERATE SEDATION ADDITIONAL 15 MIN,222,
IR MODERATE SEDATION <5YRS OLD 15 MIN,428,
IR MODERATE SEDATION >5YRS OLD 15 MIN,428,
IR MUSCLE BIOPSY,1873,
IR NEPHROSTOMY TUBE PLACEMENT,4081,
IR NEEDLE INSERT BRACHIAL ARTERY,575,
IR NEPHROSTOLITHOTOMY,4278,
IR NEPHROSTOGRAM NEW ACCESS,890,
IR NEPHROSTOMY CONVERSION TO NEPHROURETE,1109,
IR NEPHROURETERAL CATHETER PLACEMENT NEW,1403,
IR NEPHROSTOMY BILATERAL EXCHANGE,493,
IR NEPHROSTOMY BILATERAL NEW ACCESS,1066,
IR NON-TUNNELED CENTRAL VENOUS CATHETER,510,
IR PARACENTESIS,361,
IR PARACENTESIS,386,
IR PANCREAS BIOPSY NEEDLE PLCMNT,1730,
IR PELVIC ABSCESS DRAINAGE,3553,
IR PERIPANCREATIC DRAINAGE,12210,
IR PERIRENAL/ RENAL DRAINAGE,2428,
IR PERITONEAL ABSCESS DRAINAGE,2428,
IR PELVIC ANGIO SELECT,1738,
IR PERC BILIARY DRAIN CATH,7366,
IR PERC BILIARY EXTERNL & INTERNAL DRAIN,1222,
IR PERC PLACEMNT GASTROSTOMY TUBE,1752,
IR PERC THRASHEP BILIARY DRAINAGE,498,
IR PERCU TRANSHEPATIC CHOLANGIO,1628,
IR PERC TRANSHEP CHOLE INJECTION,135,
IR PERC.VENOUS MALFORMATION EMBOLIZATION,2628,
IR PERC BILIARY EXTERNAL & INTERNAL DRAIN,1222,
IR PERITONEAL TUNNELED CATH PLACEMENT,1067,
IR PICC LINE PLACEMENT,2604,
IR PICC EXCHANGE,103,
IR PLEURA BIOPSY,2318,
IR PLEURA BIOPSY - Report,,882
IR PLEURAL DRAINAGE TUNNELED CATHETER,7317,
IR PLEURAL TUNNELED CATH REMOVAL,633,
IR PORTACATH PLACEMENT - Report,,287
IR PORT REPAIR CVA DEVICE,706,
IR PORTACATH PLACEMENT,1199,
IR PORT REPAIR CVA DEVICE - Report,,2083
IR PORT REMOVAL,1744,
IR PROSTATE BIOPSY,2784,
IR PTA AORTIC,11378,
IR PTA FEMORALPOPLITEAL,12175,
IR PTA ILIAC,12175,
IR PTA TIBIOPERONEAL,12175,
IR PTA VENOUS 37248,12175,
IR PTA ILIAC ADD'L VESSEL ADD-ON,932,
IR PTA TIBIOPERONEAL ADD'L VESSEL ADD-ON,1000,
IR PTA ILIAC OR LOWER EXTREMITY RS&I 75962,2248,
"IR PTA ARTERY VISCERAL, UPPER 37246",1662,
"IR PTA ARTERY VISCERAL,UPPER ADDON+37247",822,
IR PTA VENOUS EACH ADDITIONAL VEIN+37249,701,
IR PULMONARY ANGIO BILAT,1636,
IR PULMONARY ANGIO UNILAT,1576,
IR PYELOGRAM INJECT THROUGH EXIST CATH,172,
IR RAD GUIDE FOR PERUTANEOUS DRAINAGE,519,
IR RADIO-FREQCY ABLATION PULMONARY TUMOR,12306,
IR RADIO-FREQUENCY ABLATION BONE TUMOR,5803,
IR RADIO-FREQUENCY ABLATION LIVER TUMOR,12306,
IR RADIO-FREQUENCY ABLATION RENAL TUMOR,12306,
IR RADIO-FREQUENCY ABLATION OPEN LIVER,7603,
IR RENAL BIOPSY,821,
IR RENAL VENOGRAPHY BILATERAL,1640,
IR RETROPERITONEAL ABSCESS DRAINAGE,2428,
IR REMOVAL URETERAL STENT,4082,
IR RENAL DILATION FOR NEPH TRACT,2859,
IR RENAL VENOGRAPHY UNI SELECT,1390,
IR REPAIR TUNNELED/NON CVA CATH,1528,
IR RETRIEVAL OF VASCULAR FB,7004,
IR RETRIEVAL OF VASCULAR FB RS&I,1632,
IR REMOVE OBSTRUCTIVE MATERIAL GI TUBE,228,
IR RENAL ANGIOGRAM BILATERAL,2037,
IR RENAL ANGIOGRAM UNILATERAL,1568,
IR RENAL ANGIO SUPERSELECTIVE UNI 36253,1818,
IR RENAL ANGIO SUPERSELECTIVE BILAT36254,2075,
IR SCLEROSING AGENT NON-VASCULAR,509,
IR SCLEROSING AGENT SINGLE VIEN,387,
IR SCLEROSING NON VASC 76080,232,
"IR SELECTIVE, EA. ADD'L VESSEL",5519,
IR SOFT TISSUE ABSCESS DRAINAGE,1024,
IR SPINAL CORD BIOPSY,2314,
IR SPLENOPORTOGRAPHY,849,
IR SPINAL ANGIO SELECTIVE,1713,
IR SPINAL PUNCTURE THERAPU,893,
IR SPLENOPORTOGRAPHY/LIVER,909,
IR STENT FEMORAL-POP STENT W or W/O PTA,37584,
IR STENT VISCERAL INITIAL W/WO PTA,21716,
IR STENT VISCERAL ADD'L W/WO PTA,3741,
IR STENT INTRAVASCULAR RS&I,1691,
IR STENT ILIAC ADD'L VESSEL ADD-ON,1060,
"IR STENT, PTA TIBIAL-PERONEAL",3477,
"IR STENT,ATHERECTOMY,PTA FEM-POP",3704,
"IR STENT,ATHERECTOMY,PTA TIBIAL-PERONEAL",3777,
"IR STENT,ATHERECTOMY,PTA TIB-PERONEAL ADD'L VESSEL",1949,
"IR STENT,PTA TIBIAL-PERONEAL ADD'L VESSEL ADD-ON",1375,
IR STENT VENOUS W W/O PTA 37238,1400,
IR STENT VENOUS ADD'L W W/O PTA 37239,701,
IR SUBDIAPHRAGMATIC ABSCESS DRIANAGE,2428,
IR SUP/INF VENA CAVOGRAM,926,
IR SUPRA PUBIC CATHETER PLACEMENT BLADDE,1837,
IR THORACIC AORTIC ARCH ANGIOGRAM,5944,
IR THYROID BIOPSY,1104,
IR THORA TUBE DRAIN EFFUSION,1331,
IR THORACENTESIS TUBE/PNEUMO,1244,
IR THORA TUBE DRAIN EFFUSION - Report,,711
IR THROMBOLYSIS CONTINUOUS,3359,
IR THROMBOLYTIC CATHETER EXCHANGE,7004,
IR THROMBOLYSIS CONTINUOUS - Report,,233
IR THROMBOLYSIS CONTINUOUS - Report,,256
IR THORACENTESIS ASPIRATION W/GUIDANCE,479,
IR THORACENTESIS CATH PLACEMENT W/GUIDAN,681,
IR THROMBOLYSIS ARTERIAL INITIAL DAY,1684,
IR THROMBOLYSIS CESSATION INCL CLOSURE,616,
IR THROMBOLYSIS VENOUS INITIAL DAY,1489,
IR THROMBECTOMY ARTERIAL 37184,2201,
IR THROMBECTOMY ARTERIAL ADD'L +37185,799,
IR THROMBECTOMY IN CONJUCTION +37186,1190,
IR THROMBECTOMY VENOUS 37187,1953,
IR THROMBECTOMY VENOUS SUBSEQUENT 37188,1412,
IR TRANSCATHETER BIOPSY,1260,
IR TRANSCATHETER BIOPSY RS&I,822,
IR TRANSCATHETER BIOPSY RS&I,880,
IR TRIGGER POINT 1-2 MUSCLES,547,
IR TRIGGER POINT 3+ MUSCLES,547,
IR TUNNELED CATH PLACEMENT,5866,
IR TUNNELED CATH REMOVAL,1528,
IR TUNNELED CATH REPLACEMENT,6070,
IR UPPER EXTREMITY ANGIOGRAM,6397,
IR UPPER ARM ABSCESS DRAINAGE,1271,
IR URETERAL STENT PLACEMENT,6115,
IR URETER STENT REMOVE & REPLACE,2374,
IR URETERAL BALLOON DILATION (ADD-ON COD,989,
IR URETERAL STENT AND NEPHROSTOMY PLACEM,1898,
IR URETERAL STENT PLACEMENT EXISTING ACC,1162,
IR US GUIDED NEEDLE PLACEMENT,1251,
IR US GUIDED VASCULAR ACCESS,267,
IR US INTRAVASCULAR +37252,438,
IR US INTRAVASCULAR ADD'L VESSEL +37253,350,
IR UTERINE FIBROID EMBOLIZATION,21718,
IR VERTEBRAL ANGIOGRAM,6040,
IR VENOGRAPHY CAVAL INFERIOR,930,
IR VENOGRAPHY EXTREMITY BILATERAL,1206,
IR VENOGRAPHY EXTREMITY UNILAT,788,
IR VENOUS CATH SELECTIVE SIMPLE,391,
IR VERTEBRAL DISC ASPIRATION PERCUTEOUS,1103,
IR VERTEBROPLASTY EACH ADDITIONAL,7612,
IR VENOGRAPHY CAVAL INFERIOR RS&I,994,
IR VENOGRAPHY CAVAL SUPERIOR RS&I,1053,
IR VERTEBROPLASTY CERVICOTHORACIC,3334,
IR VERTEBROPLASTY LUMBOSACRAL,3334,
IR VEIN ABLATION EXTREMITY 36473,809,
IR VEIN ABLATION ADDITIONAL VEIN +36474,405,
IR VISCERAL ANGIOGRAM SELECTIVE,1670,
ISOVUE 370 100mL,23,
"ISOVUE 300,50ML",244,
"ISOVUE M 300,20ML",79,
"ISOVUE M 200,20ML",92,
IVC FILTER OTW,5095,
"IVC FILTER,OTW GREEN",5095,
IVC RETRIEVAL SET GUNTHER TULIP,1318,
LYMPHOSEEK,1836,
"MAA KIT, VIAL/100030",70,
MAM BREAST BIOPSY ADD'L LESION,505,
MAM DUCTOGRAM OR GALACTOGRAM MULT,4923,
MAM DUCTOGRAM OR GALACTOGRAM SNGL,1222,
MAM MOBILEMAM MAMMOGRAM SCREENING,275,
MAM WIRE LOC EA.ADD'L LESION,292,
"MDP KIT, VIAL/100050",53,
MG DIGITAL MAMMO BILAT DIAG,942,
MG DIGITAL MAMMO SCREENING,275,
MG DIGITAL MAMMO UNILAT DIAG,715,
MG DUCTOGRAM INJECTION,239,
MG VAC ASSTD STEREO BRST BX,1043,
MG WIRE LOCALIZATION PREOP,449,
MICROCATHETER RENEGADE HI FLO,2143,
MICROCATHETER RENEGADE COAXIAL,2082,
MICROCATHETER,1988,
MICROCATHETERS HIGH FLOW,2347,
MICROCATHETER PROGREAT COAXIAL,2222,
MICROCATHETER RENEGADE STC 2.4FR,1470,
MICROCATHETER DIREXION,1824,
MICROCATHETER DIREXION COAXIAL,2688,
MRI ABDOMEN W & W/O CONTRAST,7101,
MRI ABDOMEN W CONTRAST,3839,
MRI ABDOMEN W/O CONTRAST,4558,
MRI ANKLE W & W/O CONTRAST,7087,
MRI ANKLE W CONTRAST,3826,
MRI ANKLE W/O CONTRAST,4437,
MRI ARTHROGRAM SHOULDER,3826,
MRI ARTHROGRAM WRIST,3826,
MRI ABD TRIPLEPHASE W/WO CONTRAST,7101,
MRI ABD/PELVIS TRIPLEPHASE W/WO CONTRAST,9596,
MRI BRACHIAL PLEXUS W & W/O CONTRAST,7064,
MRI BRACHIAL PLEXUS W CONTRAST,3839,
MRI BRACHIAL PLEXUS W/O CONTRAST,4848,
MRI BRAIN LAB BRAIN W & W/O CONTRAST,680,
MRI BRAIN LAB BRAIN W CONTRAST,680,
MRI BRAIN LAB BRAIN W/O CONTRAST,4794,
MRI BRAIN W & W/O CONTRAST,9596,
