Charge Description,Charge Amount
CATH HNB70CE100P6SLRH   ,595
CATH PED W/INTRO BLN 1.5,595
SET SHEATH PEEL AWAY    ,596
SHEATH ONQ TNLR 8GAX17  ,597
CANN OPTH FLXTP 23GA 32 ,597
HOOK RETR FSH DRAHK.25IN,597
DRAIN ABRAMSON 3 LUMEN  ,598
STAPLER ENDO GIA 45 3.5 ,600
SUPPLY                  ,600
TUBE GSTRM SIL 24F      ,600
PAD DEFIB HRTSTRT25-34CM,600
GDEROD TRMA 2.5X230MM   ,600
BRACE LSO FLX PREFAB    ,601
DRESSING HDRCLD 15X9CM A,601
GARMENT CUST 2LEG-WAIST ,602
CATHETER URDY 7FR 1 SNSR,602
PISTON EAR PROS 4.5MM RO,604
CATHETER URDY 7FR FULL L,604
CLSR EZ PRP QKFL SYR    ,604
CATH IU HSG KRTN 5FR    ,605
CATH IU HSG KRTN 7FR    ,605
TRAY PRCNTS 8FR 4.75IN  ,605
DILATOR URET SPRL TIP 4F,605
DILATOR URET SPRL TIP 5F,605
FILIFORM URTH TIP 3FR   ,605
DILATOR URET SPRL TIP 6F,605
KIT PRSS DL MNTR        ,605
SUTURE FBRWR W/NDL2-0 18,606
CATH CHLGM TYP B        ,606
CATH CHOLANGIO 4.5 BROWN,606
BLADE PRCSN 18.5X9X.51MM,606
SUT POLY 8535           ,606
BLADE SAW 25X9MM PRCSN T,606
LEAD INTRO SNGL 14FR    ,606
LEAD INTRO SNGL 9FR     ,606
SGL STG VNS CANN R      ,606
SUTURE ETHB XCL 0 CT48IN,607
BURR SURG ELITE AC 5.5MM,608
BOLT CONNECTION STATIC S,608
SHEATH DIL 10CM S-ARM   ,608
DILATOR URET STRT TIP 4F,609
FILIFORM URTH STRT TIP5F,609
DILATOR URET STRT TIP 6F,609
TROCAR LAPSCP 100X5MM   ,609
FILIFRM URTH 2F STR TIP ,609
TIP SCSR 5MM METZ CRVD  ,610
STRYKER B-1             ,612
CNLA VNS L1967 30F 41   ,612
DEVICE INFLTN 20ML MAX30,612
RELOAD STPL 55 LNR      ,612
ET TUBE PRKR 3.0MM      ,612
TUBE ET PRKR 3.5MM      ,612
TUBE ET PRKR 4.5MM      ,612
TUBE ET PRKR 4.0 MM     ,612
TUBE ET PRKR 5.0 MM     ,612
TUBE ET PRKR 5.5 MM     ,612
TUBE ET PRKR 6.0MM      ,612
WIRE LGT BLNT 160X.64MM ,613
BAG DRN INLIN ATS 600ML ,613
TROCAR LAPSCP 100X12MM  ,613
EVACUATOR SMK ELMNT PSHB,613
TROC ESCPC B12SRT       ,613
CATH PIGTAIL 7FR X 100CM,613
CATH PGTL PED 4FR 4SDPRT,613
CATH PIGTAIL 5FR X 80CM ,613
CATH PGTL 6X100 6-SDPRT ,613
GUIDE WIRE BN 1.6X100MM ,613
CATH URTH LBRSL6F 2W FOL,614
SUTURE MNDRM QUILL 2-0 A,614
BRACE ORTH UNV 26IN KN T,615
GWIRE VASC HPCT 3 7X150 ,615
GWRE EMRLFC 035 150J    ,615
TREPHINE 6.00MM DISP    ,615
EZPAP MOUTHPIECE        ,615
TREPHINE 10.5MM DISP    ,615
SUTURE VCRYL 0 CTX-B    ,615
PASSER CATHETER 65CM    ,616
NEEDLE BONE MARROW 11GA ,616
KIT EPDRL CONT PED 18GA-,616
TUBE TRACH #4 CANN FEN  ,617
KIT CAHT CVC PD AK-14402,617
CATH KT CVC PED TL 15402,617
CTHCV KIT PED 2LUM 4F 30,617
SYRG ANGIOPLASTY K05-L3 ,619
GW VSC 035 260 STFANG   ,619
CTH WDG 5F 80 CORODYN P1,619
SENSOR BIS MONTR 1860160,619
CATH BALL WEDGE PRESS   ,619
BNDG DRMFT SUPP SZ B SM ,620
TROCAR LAPSCP 100MM 12MM,620
CATH TENCK 42CM SUBCUT 1,620
NUT CONN EXFX LRF SHRT  ,620
NUT CONN EXFX LRF RNG   ,620
SPATULA SURG BRN 10MM   ,622
SUT NABSORB CV-5 TH-18 L,622
SUT STRTFX 2-0 SPRL 20CM,623
BRACE DON JOY KNEE IROM ,623
SHTH BRTP 7F 35         ,623
SUT ETHBND 0 SW110      ,623
FORCEP BIP BYNT KT 2MM  ,624
TUBE GASTMY MIC 18FRX20 ,624
TUBE PEG 16FR BLN Y ADPT,624
CANN OPTH OD20GA ACM    ,624
SNR CTH 4F 102          ,624
SNR CTH 6F 100          ,624
BRACE ADD KNEE LOCK     ,624
CLSRE PD CHITO SEAL     ,624
SUTURE SAVER KIT        ,624
TUBE GSTRMY MIC 12FR BLN,624
TUBE GASTMY 22FR TRI-FNL,624
TUBE GASTRO 20FR        ,624
FORCEP INTUB MGL 10IN   ,625
BNDG DRMFT SUPP SZ D LG ,625
BLADE OSC 50X14X.6MM    ,625
BLADE SAW PRCSN 31X9X.51,625
GW APMTZ 035 75         ,625
BRC ADD LWR EXTREM SFT  ,626
DRSG FM 3.3 SM 10X7.5   ,626
GUIDEWIRE ARTHSCP .045IN,627
CATH SURG BRTRC RN      ,628
SUTURE GORETEX 7K02A    ,628
BAR EXFIX 150X6MM OUTRIG,628
GW H JGWR STR STD 260CM ,629
DEVICE V-LOC 180 2-0CL12,629
V-LOC 180 3-0 CL 24 P-12,629
LINER HIP ABDUCTION     ,629
NEEDLE CSCP 5F 23G 35CM ,630
AGENT HMSTC AM0005      ,630
GUIDEPIN ORTH 3MM 3MM FE,630
CNTRST BASO4 EZPQ 6.2OZ ,631
KIT GD NDL 18GA         ,631
KIT NDL GD21G W COVER   ,631
NDL GD 20GX10           ,631
TRAY CATH BDX LBR 16FR  ,632
BLADE 4.5m  3443        ,632.5
DRAIN EXT CSF BAG SYSTEM,632.5
SUT NYL0N 1-0 CDM-9801  ,633
TRAY THORA/PARA 8FR     ,633
CANN PRFSN DLP ADLT 26FR,634
BLADE SAW 61X23.4X.02   ,634
SGL STG VNS CANN ST     ,634
GWIRE 1.25X4MM N THRD   ,634
NUT SPRINGLOAD EXF      ,634
TUBE TRCH 6 CANN FEN    ,634
CNTRST 24% 600ML BASO4  ,635
KNIFE ULTRASHARP        ,635
TRAY BX T-LOK STD L4 IN ,637
GW GLD 038X150 ANG      ,637
CANNULA VENOUS 12FR RT  ,637
TROC KII OPTC Z 100X11  ,638
TROC KII OPTC Z 150X12  ,638
TROCAR LAPSCP K2 100X12 ,638
KNIFE ARTHROSCOPY PROBE ,638
KNIFE RETROGRADE 4449   ,638
GWIRE 1.1MM NTHRD       ,638
STPLR SKN 25 INSORB STRN,638.75
ELCTRD ESRG EPATH 29X5  ,639
CATH BALL ANGIO         ,639
CTH BRMN 5F 80          ,639
CATH CHLGM 7.5FR        ,639
GW VASC L260 FLXB       ,640
DEVICE BX NDL 15CM 18X17,640
DEVICE BX NDL 9CM 18X17G,640
DEVICE BX 15CM 20GA 19GA,640
DEVICE BX 20CM 18GA 17GA,640
PENCIL ESURG SMOKE EVAC ,640
DRILL 23X67MM 19-S1802  ,640
RCPTCL DRN 2000CC ATRM  ,640
SHTH BRTP 11F 11        ,640
SHTH BRTP 10F 11        ,640
SHTH BRTP 7F 5.5        ,640
SHTH BRTP 6F 5.5        ,640
DEVICE BX 16CM 20GA MNPT,640
DRN INCS CHNL RND 32FR  ,642
PROBE HMERSR 20-23GA STR,642
RETRVR SUT MD 9X10X5.2  ,642
KIT TISS CLSR EASYSPRAY ,642.75
DRAIN INCS CHNL 15F 3/16,643
DRILL TWST 2MM VARIAX AO,643
VACUUM DLVRY 6000M      ,644
TROCAR XCEL B12LT REP   ,645
SHEATH BANANA 12-15     ,645
SHEATH BANANA 12-30     ,645
SUT MONCRYL 2-0 D8550   ,645
SUT ETHBND 2-0 SH PXX85 ,646
CANN ART PED/ADLT38.1X22,646
CATH PRFSN 5FR 24IN ATRL,646
GRASPER BABCOCK 5MM5BB  ,647
TROCAR 11MM 511SD       ,647.75
ROD THRD EXFX 50MM      ,649
ROD THRD EX FX 80MM     ,649
KWIRE BN FT ANKL 1.6MM  ,649
KWIRE FX 1.1X100MM      ,649
ELECTRODE ESURG LAPSCP L,649
SUTURE PDO SZ 0 14X14 VI,649
GWIRE AMPTZ 035X145 STR ,650
SHTH INTRO 5FR 018 40 10,650
GW AMPTZ 038X145 STR    ,650
SUT PRLN 7-0 BV1 4-24IN ,651
TRAY CTH LB D STD 151 LF,651
SPEAK VALVE VENT.       ,651
SUT STL SPL 7.9 18GA    ,651
SUT STL SPL 12.1 16GA   ,651
PIN GD ORTH 1.3X140MM   ,652
DRILL BIT TWST 3.5X130MM,652
ROD EX FIX THRD ILZ250MM,652
ROD EX FIX THRD ILZ 80MM,652
ROD EX FIX THRD ILZ 60MM,652
SUTURE CV 6 6K02 GORETEX,653
KIT VCE PROS INDW 20F 20,653
CANNULA ARTERIAL 22FR   ,654
CANNULA ARTERIAL 20FR   ,654
WASHER EX FIX THK 4MM   ,654
CANNISTER INFOVAC 500ML ,654
BNDG DRMFT SUPP SZC ADLT,655
DRN CHST PEDI DRY       ,655
TUBE TRACH 3.0 PED      ,655
KIT ART CATH 20GA       ,656
KIT CATH 17 GA 19GA 3.5I,656
WASHER EX FIX BOLT 2MM  ,657
BLADE SAW 70X12.5 .039IN,657
BURR RND FST CUT 6.3    ,658
SGL STG VNS CANN ST     ,658
CANN IV PVC PED.25X15X16,658
SGL STG VNS CANN. STRA  ,658
CANN SINGLE STAGE VEN   ,658
SGL STG VNS CANN STR    ,658
DEVICE CLSR VLOC 180 2GR,658
KWIRE SNGL 1.4X5X127MM  ,658
PLEUR EVC REPL BG       ,659
BLADE FULL RADIUS 7X2MM ,660
BLADE SHVR ORNG 2.9MM   ,660
BLADE SHVR GREEN 4.5MM  ,660
BLADE SHVR AQ 4MM       ,660
BLADE SHVR BLK 5.5MM    ,660
TUBE FEED 8F NASOGAST KA,660
SUT FIBERWIRE AR-7210   ,660
DYNC ARTHSCP BLDE RAZ   ,660
CANNULA ELTX L5CM OD4MM ,660
CANNULA 10MM 10CM CRV   ,660
CANNULA 10MM 15CM CRV   ,660
CANN 15CM RF 5 SHARP STR,660
CANN 5CM RF 22GA 4 SHP C,660
AUTOTRANSFUSN RATIO KIT ,660
CUTTER BLADE 2.9 MM     ,660
U-CLIP INTERN SHRT 60   ,660
PIN SKL DORO ADLT       ,662
CATHETER URDY 7FR UNV 2 ,662
STRAP SOLO 10INX54IN WDT,662
BURR RND FST CUT 5.5    ,663
BLADE SAW TPS SHORT 11.5,663
GWIRE GLD 035 150 ANG   ,663
BURR SURG 8 FLUT 114X4.8,663
KIT FNGR TRP SM 30522-6 ,663
KIT FNGR TRP XLG 30522-7,663
KIT FNGR TRP LG 30522-1 ,663
CATH W/CLSD END W/SIDEPO,663
SPLINT FRARM M/L LT     ,664
DRAIN SIL RND 19FR W/TRO,664
KIT PERCUTANEOUS 9FR    ,664
GWIRE APMTZ 035 145 SHRT,664
INTRODUCER SHTH 4FR 6CM ,665
CATHETER EXT ACUTE W GRI,665
SUT DEV 0 ES-9 48IN SGL ,665.25
CATH UMB 20/23GA 15     ,666
CATH UMB 18/21GA 15     ,666
KIT CATH SHTH MNSHLD    ,666
CANN ARTHSCP P-T 7X5.75 ,666
CONN Y CATH BG EZ 2W 9F ,666
GWIRE ORTHO .8MM        ,666
GUIDEWIRE ORTH 720MM    ,666
FORCEPTS BX PRCS BT     ,666
BIT DRL 3.2             ,666
SHEATH INTRO PLWY 22FR  ,666
CANNULA PERFUSION 12F AR,666
CANNULA PERFUSION 14F AR,666
CANN TWIST-IN AR-6540   ,666
WIRE GD FOR METRX       ,666
CANN ARTHRO 8.25X7      ,666
CANN ASC AR-6530N       ,666
CANNULA ARTHSCP TWST 7CM,666
OBTURATOR BLADELESS 8MM ,666
OBTURATOR BLDLS DVNC    ,666
GWIRE PILOT ORTH 1.9MM  ,666
SYSTEM VSN TST SMARTGUAR,666
BIT DRILL VERTEX 6956011,666
WIRE ACL GUIDE          ,666.25
CANNULA PRFSN 14IN 20FR ,667
PIN STNM BYNT 2E 9X5/32 ,667
PIN STNMN SMTH 2E 9X7/64,667
BLADE SAW MED 25X9X.51MM,667
BLADE SAW AGGR SAGTL STR,667
BLADE SAW 41X19.5X.38MM ,667
KWIRE SMTH BYNT .045X9  ,667
PIN STNMN SMTH 2E 9X1/8 ,667
BLADE SAG AGG LG 31.0X9.,667
BLADE LNG NAR 29.5X7.0  ,667
CANNULA CENOUS 14F RTANG,667
PUNCH AORTA/VEIN 3.5MM  ,667
CANN PRFSN 14IN 16FR VNS,667
CANN PRFSN 14IN 20FR VNS,667
SGL STG VNS CANN R      ,667
BLADE SAW SAG 13X.38MM  ,667
STRK TPS BLADE 31 X 9MM ,667
GWIRE ORTH HIP 300X3.2  ,668
PIN STNM FX DMD 4X22.9  ,668
BLADE SAG L18MMXW5MM    ,669
BLADE SAW SGTL25X5.5X.38,669
BLADE MICRO MANDEL      ,669
FORCEP BIPOLAR 7.5INX2MM,669
BLADE SAW SGTL 31X9X.38 ,669
CANN XCEL CB11LT        ,669
BLADE SAW SGTL 25X9X.64 ,669
TREPHINE 7.75MM DISP    ,669
SUTURE 3-0 15CM STRFX SP,669
CANNULA PRFSN 5.5IN 7FR ,670
SCISSOR TIP SWTCH BLD MM,670.25
SCISSOR ENDO CRV REPR   ,671
BLADE STERNAL 6207097101,671
SHTH BRTP 9F 55         ,671
APPLICATOR ENDO 34CM    ,671
KWIRE TROC PNT 1.1X140MM,671
KWIRE 2.5 THRD KRSH FX  ,671
TUNNELER 20IN TL        ,672
WRE GD OD1.1 THRD       ,672
GWIRE ORTH L150 OD1.25 T,672
INTRO SHTH 6FR 40CM 4CM ,672
SHEATH 7FR X 20 NO WIRE ,672
CTHTHRMB FGRTY 6F 80    ,673
WIRE EXFX SWNSN .035X5IN,675
PIN FX SWNSN 1.14X5     ,675
WIRE EXFX SWNSN .062X5IN,675
SET INTRO SHTH 8.5 REINF,675
DRSG INTDRY GEL AG 10X36,677
DEV CLSR V-LOC TPR 3-0  ,677
DEV CLSR V-LOC 2-0 6IN  ,677
SUT NABSORB CV-6 TH-18  ,677
DEV CLSR V-LOC 2-0 9IN  ,677
SUT 3314-31 TICRON 4-0 C,677
DRSG WND SLVRLN 4X12IN  ,677
SHTH CTH PEDI 5F 10X40CM,677
DEVICE CLSR V-LOC .5 6IN,677
SUTURE 180 CV-23 15CM   ,677
SUTURE VLOC 180 0 FR 9 I,677
TRAY SAFT W/11GA 4IN    ,678
APPLICATR BRCHYTHRPY40X6,678
BLN CERV DIL RIPNNG 18FR,678
GUIDEWIRE 46-504        ,678
HNDPC IRR SRGLV ML TIP  ,678
BRACE ORTH LG STD KN 4PT,678
BRACE LG STD            ,678
KWIRE ORTH 1.5X250MM    ,679
FORCEP BIP BYNT KT 1MM  ,680
KWIRE FXTN L160MM       ,680
SUT PROLENE 8-0 2-24IN  ,680
NDL SCLRTX 23GA SB SHRP ,680
SUTURE VCL UR-6 27IN BRA,681
KIT CAST WO BT 4IN      ,681
BLADE COURSE OFFST 9MM  ,681
CANNULA PRFSN 22FR VN   ,681
BLDE SAW XLG SGTL 3     ,681
BLADE SAW LNG 25.5.5X45 ,681
BLADE SAW 29.5X7X.38    ,681
DEVICE BX 18GA 15CM 11MM,681
BLADE SAW SGTL18.5X9X.38,681
BLDE MED NAR 18.5X7.0   ,681
TUBE TRCH PED 5.5       ,681
SUT 2-0 45CM STRTAFX SPR,681
SUTURE STRATFX 2-0 15CM ,681
RETRIEVER SUT 10.1IN HWS,682
ENDOPATH BBCK W/RTCHT   ,682
SUT POLYSORB 6/0 VL 8   ,682
BURR SURG RND 55X4MM    ,683
BURR SURG RND SS 4.7X54 ,683
TUBING IRR SYS PK       ,683
KIT SURGILAV HANDPIECE W,683
ACROMIONIZER 4.0        ,683.5
BRACE WALKING MEDIUM EQU,684
SUTURE 3-0 15CM PDS PLUS,684
DRESSING MPLX AG 4X8IN  ,684
CANN ENDO CRV 100MM 20GA,685
KIT INTRO MICRO 5FRX5   ,686
KIT MIC INTRO PICC 3.5F ,686
INTRO CATH PTFE 4.5X5   ,686
WIRE PCNG STR ZGZAG 60CM,688
DRSG VAC GFM 10X7.5X3.3 ,688
SEALANT MCBL 20X10CM INT,688
WIRE BIPOLAR TEMP 60CM  ,688
NEEDLE BX 14X4.5 TRCT   ,689
CANNULA PRFSN 16FR ART P,689
SUTURE PDO SZ0 36MM L14 ,689
NDL LOC HMR MALK 20GX7.5,692
NDL HMR MAMLK 20GX3     ,692
NUT AO SPRG LOAD        ,692
KWIRE FX SS 1.6X150     ,692
NDL HMR MAMLK 20GX5.0   ,692
ROD 100MM THRD RINGFIX  ,692
ROD THREADED 120MM      ,692
DRIVER HEX VPS 1.5MM    ,692
PSSPRT CNLA BTN 10MMX2CM,692
STYLET LD 100CM .016IN K,692
STYLT LD KIT BLNT TIP GR,692
DRN WND 28FR RND F      ,693
SHEATH INTR TER 10CM 4F ,693
SHEATH INTR TER 10CM 5F ,693
INTRODUCER SHTH 6FR 10CM,693
SHEATH INTR TER 10CM7F  ,693
INTRO SHTH 8FR 10CM MRKR,693
WIRE FX 150MM 1.6MM     ,693
TRAP FINGR MED STRL     ,693
TRAP FINGR LG STRL      ,693
WIRE FX 1.25MM 150MM    ,693
DRAIN WND HBLS 10F 1/8IN,694
DEVICE SUT ENDOCLSE 14GA,695
DVC STFX VIORB1 3-0 15CM,695
CATH TIGER RADIAL 6F    ,695
CATH ANGIO RADTGR CRV 6F,695
TUBING OPTH VENTED GFI  ,695
V-LOC 180 ABS 0 GR 18 GS,696
JAW RADL 4 LG CPCTY     ,696
TRAY THORCNTS/PRCNTS 8F ,696
TUBE TRCH 80X9MM CANN LF,697
BLADE SAW 82X12.7X1.2MM ,698
PIN FX 3.5MM 120MM ORTH ,698
PIN FIXTN 150MM 4.0MM ST,698
PIN FX 4MM 180MM ORTH   ,698
PIN FX 4MM 200MM ORTH   ,698
BALLN BRCHTHPY 8558 8658,698
RELOAD ENDOGIA 45MM BLUE,699
DRSG 8X8 ADHER MPLX     ,699
SUTURE 0 ENDOKNOT EX10G ,699
BLADE OSCIL/SAG SAW XLG ,700
WASHER EXFX BOLT 4.0MM  ,700
WASHER BOLT EX FIX 2MM  ,700
KWR FX ORTH 2PT .045X4IN,701
KWR DMD PT 1.1MM 5IN    ,701
KWR KRSH TROC .045X7IN  ,701
KWR KRSH TROC .062X4IN  ,701
KWR KRSH TROC .062X9IN  ,701
KWR KRSH SMTH 12X1.5    ,701
KWR KRSH ORTHO 4X1.5IN  ,701
KWR KRSH SMTH 1.9X5X5   ,701
KWR KRSH SMTH 1.5X5     ,701
KWR KRSH TROC .062X7IN  ,701
KWR KRSH TROC .028X4    ,701
KWR FX KRSH 2PNT .035X4 ,701
KWR FX SMTH DMD .85X9   ,701
KWR FX ORTH 2PT 5X.85   ,701
KWR FX ORTH 0.35X7IN    ,701
KWR FX ORTH .045X4      ,701
KWR EXFX KRSH TROC .85X4,701
KWR EXFX KRSH DMD 1.1X12,701
KWR EXFX KRSH TROC 1.5X4,701
KWR EXFX KRSH DMD 1.5X12,701
WIRE EXFX KRSH 4X1.1    ,701
WRENCH BLADE TORQUE LOCK,701
CANN IV PLAS 90DD 28CM 8,701
SUT STRTFX PGA-PCL 16CM ,702
SUT MERS CSTM 2-0 30IN  ,702
CATHETER URDY 7FR FULL L,702
SUT POLYSORB 6/0 12 VL  ,702
DRN WOUND BLAKE OD19 F  ,702
GW TROC TIP 1.35X150MM  ,703
DEV FRC TREVRS EDG 15FT ,704
SET NPHSTM 1 CONN DRN PC,704
DILATOR URTH 30CM 12FR A,704
TRAY BIOPSY DISP W/O NED,704
OTHS SPNL AD PIN REPL   ,705
PAD CTO ADDtoSPN ORTHOSI,705
POINT NEEDLE 3CM STR    ,705
RADIAL JAW 4 JUMBO 240CM,706
BRUSH NEEDLE            ,706
INTRODUCER SHTH 9FR 10CM,706
FORCEPS BX NDL 240CM 2.8,706
TROCAR KII ADV 100X12MM ,707
TROC KII OPTC Z 60X12   ,707
CANNULA PRFSN VNS 28/36F,707
GW VASC FMRL CANN       ,708
TRAY CRITICORE FOLEY 16F,709
SLEEVE XPND VERSA RADL  ,709
WRENCH ALLEN XS 4mm DISP,710
ROD THREADED 150MM      ,710
BLADE OPTH DISP 7.75MM  ,710
PAD DEFIB SMRT CRTDG ADL,710
DEVICE VLOC 180 ABS 2-0 ,711
BRACE ADD POLYAXIS HINGE,711
DEVICE CLSR VLOC 180 2GR,711
SUTURE V-LOC 90 2-0 VL12,711
SET ADM PRTNL HMCHC ATO ,712
HEMOSTAT ABSRB 4X3 INST ,712
BRACE ADD LWR EXT VARUS ,712
SUTURE VLOC 2-0 GS-21 91,712
SUT FBRWR 2 .5 CIRC 38IN,713
TROC KII BLN BLNT 100X12,713
TROCAR LAPSCP KII 150X12,713
TROCAR 1ST ENTRY 100X11 ,713
TROCAR 1ST ENTRY 12X100 ,713
COUPLER EXT RINGFIX WASH,713
VALVE CNTRL BLEDBK INNOV,713
TOOL PCMKR 6.5MM CONN UN,713
LENS MRGN EYE LAV IRR   ,713
NEEDLE SUT 4 FLAT STRL D,713
DRSG HEMOSTS SYVK 3X3   ,713
PESSARY SIL COUNSELOR SM,713
PESSARY SIL COUNSELOR MD,713
PESSARY SIL COUNSELOR LG,713
SET TRANSFER PD MINICAP ,713
DIL COONS TPR 22F 20CM  ,714
DRSNG JMPSTRT HLX 4X4   ,714
PACK CARDIOVASCULAR     ,714
TROCAR ESCP 11MM XCEL DI,714
IMMOBILIZER SHLDR       ,714
BNDG DRMFT SUPP SZ E SM ,716
CANISTER WND DRN TBG CLM,718
TROC KII SHLD Z 100X12  ,719
TROCAR LAPSCP 130X12MM  ,719
TROCAR 1ST ENTRY 12X150 ,719
EARWELL RETRACTOR MINI  ,719
PHYS CTRL QCK CMB PD    ,719
WIRE GDE OD1.6MM NTHRD N,719
SET TUBING BLOOD NEO/PED,719
STRYKER IMPULSE HANDPIEC,721
SHTH ONQ PLWY 8F 17     ,722
SHTH ONQ PLWY 10F 12    ,722
RETRACTOR ACCESS MED    ,722
SUTURE MONO 2-0 26X16 QU,722
GW GLD 025X150 STR      ,722
GW GLD 025X150 ANG      ,722
GWIRE GLD 035X150 STRFLX,722
PIN STEIN SMTH DMD 5/64 ,724
SUTURE V-LOC 180 3-0 6IN,724
BLADE RECIP SS T .8MM W1,725
SUPPLY                  ,725
KIT IV RESUS 7700GIV    ,725
KIT IV RESUS 7700OIV    ,725
KIT IV RESUS 7700BIV    ,725
KIT IV RESUS 7700WIV    ,725
KIT IV RESUS 7700PIV    ,725
KIT IV RESUS 7700RIV    ,725
ROD EX FIX CIRC P/T 13MM,726
BLADE SGTL ORTHPWR 19MM ,726
TUBE GSTRM SIL 18F      ,726
INTRODUCER MPNCH SET PED,726
TUBE GSTRM SIL 16F      ,726
TUBE GSTRM SIL 20F      ,726
8F HIFLO INTROD W/GUIDEW,726
KIT INTRO MICRO 5FR 80CM,726
RETRIEVER SUTURE STRL   ,727
SPNG GLFM ABS HMSTC 100 ,727
PAD TRAC PIVOTPOST DISP ,728
APPLICATOR PLATLT SPRAY ,728
TIP MLBL 2CANN 20GAX10IN,728
PIN STNM 1 22.9X22.2X2.8,728
INTRODUCER SHTH 9FR 10CM,728
SUT 6629-43 MAXON 3/0 T5,729
SURGICEL ABS 4X8IN      ,729
BRACE HO ABDCT HIP PVLIK,730
POLAR CARE SHOULDER WRAP,730
CATH ANG .038IN 4FR 80CM,730
CUFF TAT QR LARGE UNIV  ,730
CATH DRN 5MM RT ANGL    ,731
BUR TIP 1.5 1608-2-45   ,731
CANNLA PRFSN 14IN 20-20F,731
BURR SURG 3.2MM RND STRL,731
CATHETER BLN ESOPHAGEAL ,731
BAG DRAIN BCKR 700 ML   ,731
SET TBG VFI ACR         ,731
CAP HEALING D 26MM STERI,731
ENDO STITCH 3/0 48 DY PL,731.5
COTTONYII WHITE BRAIDED ,732
DRAIN CHEST 1LT         ,732
ORTHOSIS ELBOW STATIC ME,733
SUT RETRIEVER           ,733
FCEP PLMNRY BIOP WXO NDL,733
CTHDX INFN 5F JR4 125   ,733
BOLUS GASTROS TUBE 18F  ,733
TUBE GASTROSTMY SIL 20FR,733
CPSL GRD 1/A 45D        ,733
TUBE TRCH CUFLS #4      ,734
TUBE TRCH 6 CUFLS       ,734
TUBE TRCH CUFLS #8      ,734
CANN 2 STG 32/40FR      ,734
GUIDEWIR ORTHO L9IN OD2.,734.5
SUTURE 0 CT1 7X7CM      ,735
CNTRST RAD PROHANCE 15ML,736
NDL BX MNPTY 18G 10X22  ,736
DRSNG SILVERLON 5X8 NEG ,737
PROTECTOR XL 18-24IN HL ,737
BLADE DERMATOME ST DISPO,738
CTH KIT 5FR .021 2LUM   ,738
SET CATH CVP L5CM OD4FR ,738
TRAY EXCH TRNSF 40FT    ,738
TUBE TRCH 6 CANN        ,738
BRACE KNEE ADVANCE UNIV ,738
TUBE GSTRM FD SIL 12FR  ,739
TUBE GSTRM SIL 28F      ,739
LAVAGE ADULT 1534       ,740
TUBE TRCH 6 PEDI CUFF   ,742
CNLA VNS L1967 32F 41   ,742
PUNCH 7.75IN 6MM STRL DI,742
RETRCT ESCPC MBIUS 6-8  ,743
INST BX MSN NDL 16GX10CM,744
INST BX MSN NDL 14GX10CM,744
BLADE SAW SM. OSC.      ,744
TRAY SAFT CENTSIS DRN 6F,745
ELECTRODE EMG 2 TWST    ,745
CTH PSH BIL 10F 170     ,745
BIT DRILL STRL 11MM     ,746
CATH SLITTER ADJ SHTH   ,746
SUT EPTFE GRTX CV-2 THX-,746
GDPIN 3.2X230           ,746
GARMENT CUST VEST SLEEVD,746
INTRO CATH L14X7FR WRE  ,746
INTRO SHTH PLWY 11FR14CM,746
INTRO CATH PLWY 14F     ,746
WIRE MNIRL EXFX70X1.6X15,746
CATH SLITTER UNV 2      ,746
RETRVR SUT SM 9X10X5.2  ,746
BIT DRL 2.4MM           ,746
SHTH PLWY 9F 405116     ,746
SHTH PLWY 10.5F 405122  ,746
WIRE GD SURG SPINE      ,746
GW VASC LNDRQS 145CM    ,746
CANNLA ASCP 7CM 5.75MM  ,746
TUBE GASTMY 24FR MIC    ,746
GUIDEWIRE NITINOL TUNGST,746
CAP PROT STRL GRN 3MM   ,747
CAP PROT FT 4MM         ,747
BNDG HMST D-ST SLV CLR  ,749
WIRE FX KRSH 1.6MM      ,749
BURR SURG EGG STRL 6MM  ,749
PIN GD THRD 1X70        ,749
KIT CATH CV 5FR 3LUM 5CM,749
RETRVR SUT LG 9X10X5.2  ,749
BLADE SGTL 12X5.5X.55MM ,749
BLADE SGTL 18.5X10X.55MM,749
SHTH BNA PLWY 11F 15    ,749
SHTH BNA PLWY 14F 30    ,749
SHTH BNA PLWY 16F 30    ,749
SHTH BNA PLWY 9F 15     ,749
SHTH BNA PLWY 11F 30    ,749
PED PLASTIC HIP ABDUCT  ,749
KNIFE BANANA SHEATH     ,749
SHTH KIT 6F 13          ,749
DEVICE CLSR VLOC 90 2-0 ,751
DRESSING HDRCLD 125X9CM ,751
DERMABRADER 4.0MM ST MED,753
DERMABRADER SURG STR 7MM,753
BLADE SHVR AGRS 5MM     ,753
DRAIN BLAKE 19FR        ,753
BLN END HL 7F 110       ,754
CANN PRFSN VNS 12FR 14IN,755
CANN PRFSN VNS 14FR 14IN,755
CANN PRFSN VNS 16FR 14IN,755
DIL CNS TPR 20F 20CM DST,755
BNDG DRMFT SUPP SZF LG  ,755
SGL STG VNS CANN R      ,755
CANULA PRFSN 15IN 36-46F,755
GWIRE ORTH NTHRD 230X2MM,756
SHTH AMPTZ OPAQ 28F 30CM,757
TUBE TRACH #8 CANN LOW  ,758
DRSG HLX POST 5X6 PRCLRA,759
GARMENT CMPR LEG CSTM   ,759
